order_id,customer,quantity,status
ORD00161,"Wong, Flores and Cruz",173,Pending
ORD00162,Young PLC,408,Shipped
ORD00163,"Kelly, Dyer and Yang",409,Pending
ORD00164,"Bennett, Oconnor and Woods",141,Cancelled
ORD00165,Robinson Ltd,145,Cancelled
ORD00166,"Cooper, Sosa and Rodriguez",276,Shipped
ORD00167,Munoz-Cohen,412,Pending
ORD00168,"Rogers, Evans and Williams",271,Processing
ORD00169,Allison PLC,106,Processing
ORD00170,"Montes, Frank and Young",344,Delivered
ORD00171,Smith Group,305,Delivered
ORD00172,Foster-Green,124,Delivered
ORD00173,Lopez-Jones,208,Shipped
ORD00174,"Caldwell, Dennis and Peters",379,Pending
ORD00175,Shepard Inc,270,Cancelled
ORD00176,Jones-Poole,107,Delivered
ORD00177,"Snyder, Page and Wright",332,Delivered
ORD00178,Velazquez-Taylor,141,Cancelled
ORD00179,Newman PLC,7,Pending
ORD00180,Cervantes and Sons,55,Delivered
ORD00181,Shields-Haas,101,Processing
ORD00182,"Romero, Cowan and Brewer",412,Shipped
ORD00183,"Savage, Wilkins and Guerrero",91,Shipped
ORD00184,Becker PLC,173,Delivered
ORD00185,Gonzalez Inc,271,Shipped
ORD00186,Bryan PLC,298,Processing
ORD00187,Robinson Ltd,356,Cancelled
ORD00188,Mack LLC,17,Pending
ORD00189,"Carter, Neal and Morris",300,Shipped
ORD00190,Walsh-Navarro,377,Cancelled
ORD00191,"Webb, Hutchinson and Howard",456,Cancelled
ORD00192,"Knight, Johnson and Mcgrath",310,Delivered
ORD00193,Morgan-Johnson,197,Delivered
ORD00194,Smith and Sons,159,Pending
ORD00195,"Ritter, Sanchez and Hogan",380,Pending
ORD00196,Black-Simmons,178,Pending
ORD00197,"Kirk, Weiss and Ray",285,Shipped
ORD00198,"Rodriguez, Romero and Little",346,Processing
ORD00199,Waters-Flores,434,Pending
ORD00200,Marshall-Rodriguez,84,Cancelled
ORD00201,Rodriguez-Cole,444,Cancelled
ORD00202,Olsen-Curry,444,Pending
ORD00203,"Bullock, Tapia and Bryant",132,Cancelled
ORD00204,Le Group,399,Shipped
ORD00205,Butler PLC,229,Shipped
ORD00206,Hunt Inc,171,Shipped
ORD00207,"Allen, Sellers and Cardenas",93,Processing
ORD00208,Lopez Ltd,177,Shipped
ORD00209,Martin-Anderson,358,Pending
ORD00210,Henson-Wong,211,Processing
ORD00211,Wagner-King,175,Pending
ORD00212,"Steele, Gonzalez and Powers",276,Pending
ORD00213,"Williams, Fernandez and Murphy",94,Pending
ORD00214,Frazier-Rose,337,Pending
ORD00215,"Forbes, Patel and Howell",93,Processing
ORD00216,Aguilar-Middleton,423,Shipped
ORD00217,Schmidt Ltd,204,Delivered
ORD00218,"Matthews, Cisneros and Ryan",134,Pending
ORD00219,Anderson Ltd,334,Pending
ORD00220,"Acevedo, Wilson and Miller",90,Shipped
ORD00221,"Smith, Reed and Sherman",61,Pending
ORD00222,"Hall, Bray and Hall",329,Cancelled
ORD00223,Thompson and Sons,92,Pending
ORD00224,Kane Ltd,93,Cancelled
ORD00225,"Perry, Johnson and Moss",220,Pending
ORD00226,Proctor-Rogers,183,Processing
ORD00227,"Wheeler, Sanchez and Harris",98,Processing
ORD00228,Thomas-Miller,381,Pending
ORD00229,Hughes-Andrews,407,Pending
ORD00230,"Mccoy, Burns and Watson",34,Delivered
ORD00231,"Lucero, Collins and Farmer",402,Processing
ORD00232,"Thomas, Wilson and Pope",165,Processing
ORD00233,"Smith, Morse and Foster",72,Shipped
ORD00234,"Payne, Sheppard and Meadows",59,Cancelled
ORD00235,Lopez PLC,372,Cancelled
ORD00236,Jackson-Johnson,121,Cancelled
ORD00237,Ruiz-Ramirez,246,Delivered
ORD00238,"Molina, Vasquez and May",361,Delivered
ORD00239,Gomez-Thompson,429,Shipped
ORD00240,Diaz-Myers,486,Shipped
ORD00241,"Baker, Moss and Wells",247,Processing
ORD00242,Sharp-Ashley,294,Delivered
ORD00243,"Perkins, Miller and Sheppard",87,Processing
ORD00244,Little Group,483,Delivered
ORD00245,Mason LLC,341,Shipped
ORD00246,Guerra-Kent,363,Shipped
ORD00247,"Cross, Schultz and Goodman",288,Cancelled
ORD00248,Ross Inc,229,Shipped
ORD00249,Williams-Lee,413,Shipped
ORD00250,"Mcdaniel, Sanchez and Chen",490,Shipped
ORD00251,Smith-Kim,33,Cancelled
ORD00252,Wilson and Sons,381,Cancelled
ORD00253,Parker-Rasmussen,363,Delivered
ORD00254,Taylor-Duncan,430,Shipped
ORD00255,Hayes and Sons,248,Processing
ORD00256,Madden-Rodriguez,317,Shipped
ORD00257,Mann-Coleman,296,Shipped
ORD00258,Taylor Group,64,Processing
ORD00259,Robinson Group,327,Delivered
ORD00260,"Santiago, Stafford and Manning",81,Shipped
ORD00261,"Armstrong, Freeman and Mercado",451,Pending
ORD00262,"Clark, Welch and Burns",22,Delivered
ORD00263,Brown-Adams,441,Pending
ORD00264,Collins and Sons,66,Processing
ORD00265,Lynch-Kline,21,Processing
ORD00266,Andrews-Miller,114,Delivered
ORD00267,Carrillo-Sullivan,467,Processing
ORD00268,"Stevens, Kelly and Barnes",129,Shipped
ORD00269,Dean Group,381,Cancelled
ORD00270,Brown-Hart,404,Shipped
ORD00271,Harrison-Sparks,68,Delivered
ORD00272,King LLC,413,Processing
ORD00273,Woods PLC,78,Processing
ORD00274,Powers Ltd,407,Processing
ORD00275,"Bridges, Diaz and Weber",7,Pending
ORD00276,"Beard, Velazquez and Allen",85,Processing
ORD00277,Glover PLC,227,Cancelled
ORD00278,Thompson Ltd,250,Pending
ORD00279,Melendez-Olson,247,Delivered
ORD00280,Johnson-Carter,329,Delivered
ORD00281,Graham-Scott,154,Shipped
ORD00282,"Barnett, Thompson and Wells",128,Cancelled
ORD00283,"Howard, Rhodes and Williams",451,Pending
ORD00284,Jackson-Mcdonald,183,Cancelled
ORD00285,"Leon, Allen and Mclaughlin",267,Processing
ORD00286,"King, Merritt and Stewart",26,Pending
ORD00287,"Walter, Allen and Williams",364,Cancelled
ORD00288,"Clark, Nelson and Park",146,Pending
ORD00289,Garza LLC,109,Pending
ORD00290,Walton Group,246,Pending
ORD00291,Ramsey-Graham,143,Delivered
ORD00292,"Le, Shaw and Rivera",235,Shipped
ORD00293,"Collins, Robinson and Johnson",86,Delivered
ORD00294,Johnson-Rose,447,Shipped
ORD00295,Martinez Inc,363,Delivered
ORD00296,"Miller, Smith and Gregory",484,Delivered
ORD00297,"Garcia, Smith and Shaw",232,Pending
ORD00298,"Clark, Orr and Walls",97,Processing
ORD00299,Porter PLC,423,Pending
ORD00300,Wright-Mclean,106,Processing
ORD00301,Berger Group,125,Delivered
ORD00302,Horne Group,191,Shipped
ORD00303,"Little, Griffin and Davis",403,Shipped
ORD00304,"Kane, Cox and Goodman",356,Shipped
ORD00305,Combs Ltd,338,Pending
ORD00306,Jenkins PLC,94,Cancelled
ORD00307,"Solomon, Montgomery and Barnes",421,Shipped
ORD00308,Frederick-Garrison,117,Cancelled
ORD00309,"Flynn, Thompson and Phillips",453,Processing
ORD00310,Sanchez-Blevins,464,Delivered
ORD00311,"Flores, Rogers and Dalton",28,Shipped
ORD00312,Leonard Inc,382,Shipped
ORD00313,Price-Bowers,295,Processing
ORD00314,"Smith, Medina and Wilson",177,Delivered
ORD00315,Daniel-Fernandez,398,Pending
ORD00316,"Romero, Zhang and Hubbard",195,Pending
ORD00317,Contreras and Sons,413,Delivered
ORD00318,Sharp and Sons,38,Shipped
ORD00319,"Cox, Fischer and Paul",445,Cancelled
ORD00320,"Williams, Stein and Norman",17,Cancelled
ORD00321,"Petersen, Harrison and Munoz",168,Cancelled
ORD00322,Gardner Inc,287,Processing
ORD00323,Meza-Green,453,Shipped
ORD00324,Wong-Castillo,332,Delivered
ORD00325,Ortega-Pierce,18,Delivered
ORD00326,Dawson Ltd,77,Pending
ORD00327,Schneider-Meyer,464,Processing
ORD00328,Jordan Inc,291,Processing
ORD00329,Edwards PLC,16,Shipped
ORD00330,Murphy-Thompson,116,Shipped
ORD00331,Tucker LLC,186,Processing
ORD00332,Arroyo-Jordan,286,Pending
ORD00333,Wilson LLC,235,Pending
ORD00334,Ramos LLC,341,Shipped
ORD00335,Mcbride LLC,226,Shipped
ORD00336,"Ray, Sanchez and Johnson",484,Delivered
ORD00337,Bonilla-Henson,427,Cancelled
ORD00338,"Hicks, Thomas and King",115,Cancelled
ORD00339,Gibson-Barry,363,Delivered
ORD00340,Rollins and Sons,362,Delivered
ORD00341,Espinoza PLC,206,Cancelled
ORD00342,Knight-Hicks,419,Delivered
ORD00343,Brady PLC,131,Shipped
ORD00344,Williams and Sons,382,Shipped
ORD00345,Alvarado-Williams,45,Delivered
ORD00346,Ward and Sons,333,Delivered
ORD00347,Morales Group,114,Processing
ORD00348,"Clark, York and Hawkins",463,Pending
ORD00349,"Turner, Johnson and Richard",368,Shipped
ORD00350,Stevens Group,155,Delivered
ORD00351,Allison-George,482,Processing
ORD00352,Singleton-Mullen,414,Shipped
ORD00353,"Cherry, Lopez and Craig",308,Cancelled
ORD00354,"Ross, Patterson and Robertson",454,Delivered
ORD00355,Goodman-Carter,189,Processing
ORD00356,"Nicholson, Carpenter and Ramos",155,Delivered
ORD00357,Scott Ltd,291,Processing
ORD00358,Carlson-Lawrence,184,Pending
ORD00359,Franklin PLC,366,Shipped
ORD00360,Jefferson-Cox,115,Cancelled
ORD00361,Burns-Davis,177,Shipped
ORD00362,Perez-Miller,454,Pending
ORD00363,Hayes and Sons,371,Processing
ORD00364,"Stephens, Boyer and White",188,Shipped
ORD00365,"King, Wilkinson and Le",220,Processing
ORD00366,Gonzalez PLC,143,Shipped
ORD00367,"Nolan, Matthews and Little",446,Shipped
ORD00368,Fitzpatrick-Chang,71,Delivered
ORD00369,"Kane, Mccall and Harris",82,Cancelled
ORD00370,Morris LLC,391,Shipped
ORD00371,"Salazar, Rodriguez and Brown",340,Pending
ORD00372,Peterson LLC,55,Pending
ORD00373,Hickman Inc,85,Pending
ORD00374,"Hampton, Daniel and Wilson",43,Cancelled
ORD00375,"Anderson, Bryant and Edwards",110,Pending
ORD00376,Hughes LLC,3,Pending
ORD00377,Moss-Martin,301,Pending
ORD00378,Soto-Campbell,411,Delivered
ORD00379,"Leblanc, Rodriguez and Wilkinson",299,Processing
ORD00380,Lee-Wright,217,Pending
ORD00381,Davidson PLC,497,Pending
ORD00382,Bryant Inc,283,Pending
ORD00383,Burnett and Sons,347,Shipped
ORD00384,Solis-Owens,170,Delivered
ORD00385,Hernandez PLC,447,Cancelled
ORD00386,Conley Ltd,485,Processing
ORD00387,"Perkins, Stone and Gonzales",483,Delivered
ORD00388,Lewis-Mcbride,192,Pending
ORD00389,Graves Group,153,Processing
ORD00390,"Reynolds, Thornton and Tate",315,Cancelled
ORD00391,"Pierce, Barrett and Stone",87,Delivered
ORD00392,Ruiz Inc,41,Shipped
ORD00393,Parker and Sons,199,Delivered
ORD00394,Valencia-Evans,209,Shipped
ORD00395,"Hamilton, Austin and Gross",236,Cancelled
ORD00396,Rogers-Juarez,414,Pending
ORD00397,Wilson LLC,42,Delivered
ORD00398,"Brown, Smith and Wilson",392,Shipped
ORD00399,"Morgan, Turner and Johnson",131,Shipped
ORD00400,Jackson Group,171,Pending
ORD00401,Cardenas and Sons,290,Delivered
ORD00402,"Johnson, Bailey and Willis",185,Delivered
ORD00403,"Murphy, Green and Miller",359,Processing
ORD00404,Dorsey LLC,391,Cancelled
ORD00405,Forbes-Herrera,461,Shipped
ORD00406,"Brown, Kirby and Williams",305,Cancelled
ORD00407,Rivera-Smith,492,Processing
ORD00408,Ingram Ltd,417,Processing
ORD00409,Crawford-Baker,46,Cancelled
ORD00410,Moore-Stewart,115,Shipped
ORD00411,"Winters, Cohen and Pratt",6,Cancelled
ORD00412,"George, Rogers and Hurst",161,Shipped
ORD00413,Blevins-Richardson,447,Delivered
ORD00414,Garza-Rogers,479,Shipped
ORD00415,Medina and Sons,202,Delivered
ORD00416,Sims PLC,138,Delivered
ORD00417,Smith-Liu,297,Pending
ORD00418,Brock-Espinoza,371,Shipped
ORD00419,Johnson-Wiggins,6,Pending
ORD00420,Booker and Sons,220,Cancelled
ORD00421,"Griffin, Clark and Ortiz",454,Delivered
ORD00422,Mata-White,314,Cancelled
ORD00423,"Ali, Castro and Ellis",31,Processing
ORD00424,Williams Ltd,419,Pending
ORD00425,Morrison PLC,79,Processing
ORD00426,"Hernandez, Cox and Thomas",427,Processing
ORD00427,"Fitzgerald, Garcia and Williams",187,Shipped
ORD00428,Hernandez-Johnston,421,Delivered
ORD00429,Walton Inc,142,Cancelled
ORD00430,"Molina, Conner and Pugh",227,Processing
ORD00431,Bradley-Daniels,454,Delivered
ORD00432,"Carter, Benton and Oconnor",5,Cancelled
ORD00433,"Davis, Williams and Padilla",324,Pending
ORD00434,"Rivas, Perez and Oliver",118,Delivered
ORD00435,Jackson Inc,193,Cancelled
ORD00436,Moore Group,21,Cancelled
ORD00437,"Archer, Steele and Berry",9,Processing
ORD00438,Roberson-Harvey,491,Pending
ORD00439,Smith Ltd,33,Processing
ORD00440,Byrd-Cook,69,Shipped
ORD00441,Schroeder-Clark,169,Cancelled
ORD00442,"Jackson, Brooks and Arellano",178,Shipped
ORD00443,"Spears, Romero and Patton",146,Shipped
ORD00444,"Smith, Johnson and Glenn",69,Delivered
ORD00445,"Rose, West and Bennett",358,Shipped
ORD00446,"Hurst, Wright and Terry",183,Shipped
ORD00447,Stone-Hernandez,411,Delivered
ORD00448,"Bryant, Austin and Shea",56,Cancelled
ORD00449,Ross-Smith,140,Cancelled
ORD00450,Hernandez LLC,112,Shipped
ORD00451,Patterson-Jones,182,Shipped
ORD00452,Freeman and Sons,352,Pending
ORD00453,Fisher Ltd,498,Pending
ORD00454,"Young, Johnson and Ware",292,Cancelled
ORD00455,"Johnson, Robinson and Sanders",470,Delivered
ORD00456,Armstrong-Thomas,254,Pending
ORD00457,"Williams, Higgins and Stout",142,Processing
ORD00458,Thompson Ltd,51,Pending
ORD00459,"Perez, Bell and Smith",178,Delivered
ORD00460,"Lee, Ferguson and Carroll",223,Cancelled
ORD00461,Aguilar-Schwartz,496,Shipped
ORD00462,Hunt-Fitzgerald,89,Processing
ORD00463,Gomez-Martin,403,Processing
ORD00464,"Simmons, Bird and Howell",201,Cancelled
ORD00465,Williams-Davidson,461,Cancelled
ORD00466,"Hardin, Friedman and Smith",409,Processing
ORD00467,Harris Inc,272,Processing
ORD00468,"Clark, Simmons and Noble",83,Processing
ORD00469,Turner-Williams,63,Pending
ORD00470,"George, Carney and Robinson",201,Pending
ORD00471,Ross Ltd,445,Processing
ORD00472,Koch-Santos,474,Delivered
ORD00473,Jackson LLC,448,Delivered
ORD00474,"Small, Cross and Guerrero",321,Cancelled
ORD00475,"Norman, Garcia and Dunlap",408,Processing
ORD00476,Hubbard Ltd,303,Shipped
ORD00477,"Williams, Cardenas and Williamson",499,Cancelled
ORD00478,Williams Group,242,Shipped
ORD00479,Weiss-Moody,94,Cancelled
ORD00480,Villegas and Sons,477,Shipped
ORD00481,Humphrey-Miller,470,Shipped
ORD00482,Ryan and Sons,159,Shipped
ORD00483,"Pugh, Cole and Pierce",343,Pending
ORD00484,Williams Inc,31,Pending
ORD00485,Alvarez PLC,196,Cancelled
ORD00486,Knight-Martinez,96,Shipped
ORD00487,Rodriguez-Davis,77,Pending
ORD00488,Richards and Sons,285,Processing
ORD00489,"Robbins, Daniel and Mccullough",434,Pending
ORD00490,Chen-Daniel,399,Shipped
ORD00491,Mckay Group,416,Cancelled
ORD00492,"Moore, Cobb and Wood",130,Pending
ORD00493,"Chang, Swanson and Middleton",20,Delivered
ORD00494,Sheppard-Anderson,151,Cancelled
ORD00495,"Hall, Walls and Thompson",439,Shipped
ORD00496,Young Ltd,175,Processing
ORD00497,Jefferson LLC,212,Cancelled
ORD00498,Cisneros-George,65,Pending
ORD00499,"Wood, Ramos and Hughes",285,Shipped
ORD00500,Johns and Sons,369,Cancelled
ORD00501,Trujillo-Sparks,346,Pending
ORD00502,Bryant-Nicholson,277,Pending
ORD00503,Odom-Smith,172,Processing
ORD00504,Williams LLC,48,Delivered
ORD00505,James Ltd,340,Pending
ORD00506,"Gallegos, Alvarado and Reed",393,Cancelled
ORD00507,"Sullivan, Wilson and Hicks",195,Processing
ORD00508,Price-Ray,156,Pending
ORD00509,"Powell, Lynch and Ayers",241,Shipped
ORD00510,Mitchell Ltd,111,Cancelled
ORD00511,Thomas and Sons,429,Pending
ORD00512,"Reyes, Jones and Long",387,Cancelled
ORD00513,Adams-Lopez,361,Shipped
ORD00514,Marshall-Garcia,112,Shipped
ORD00515,"Smith, Wright and Mann",56,Pending
ORD00516,Fuller-Yang,338,Shipped
ORD00517,Smith-Mills,325,Cancelled
ORD00518,Price Ltd,162,Shipped
ORD00519,"Kaiser, Miller and Brooks",470,Processing
ORD00520,"White, Brown and Dougherty",37,Shipped
ORD00521,Robinson-Powell,154,Processing
ORD00522,Alexander-Bird,333,Shipped
ORD00523,Lee Group,313,Cancelled
ORD00524,Hamilton-Schroeder,448,Pending
ORD00525,Martin-Lowe,167,Cancelled
ORD00526,Miller-Contreras,413,Pending
ORD00527,Harris-Bonilla,46,Pending
ORD00528,"Owens, Snyder and Chambers",343,Pending
ORD00529,"Duncan, Flores and Yang",126,Delivered
ORD00530,Schwartz-Hernandez,479,Processing
ORD00531,Goodman-Ross,273,Delivered
ORD00532,Foley and Sons,491,Delivered
ORD00533,"Manning, Miller and Smith",226,Delivered
ORD00534,"Branch, Wilson and Best",458,Cancelled
ORD00535,Wilson Inc,97,Processing
ORD00536,"Stone, Reilly and Hardin",122,Cancelled
ORD00537,Chambers-Thomas,168,Cancelled
ORD00538,Russell-Wells,168,Pending
ORD00539,"Shields, Campbell and Weber",93,Processing
ORD00540,"Romero, Oconnor and Vaughn",84,Pending
ORD00541,Hernandez-Holloway,44,Cancelled
ORD00542,Chavez PLC,97,Delivered
ORD00543,"Choi, Torres and Ellis",69,Delivered
ORD00544,Garcia PLC,160,Processing
ORD00545,Hawkins-Hughes,197,Delivered
ORD00546,Perez-Wolf,220,Pending
ORD00547,Griffin Group,349,Pending
ORD00548,"Smith, Nelson and Davis",110,Delivered
ORD00549,Mueller-Edwards,208,Delivered
ORD00550,Thomas-Roberts,132,Processing
ORD00551,Price Inc,443,Cancelled
ORD00552,Edwards-Preston,412,Cancelled
ORD00553,"Burke, Miller and Walker",145,Processing
ORD00554,Bradley Inc,474,Processing
ORD00555,Smith Group,192,Pending
ORD00556,Mack PLC,26,Delivered
ORD00557,Evans PLC,476,Pending
ORD00558,Williams-Rodriguez,181,Delivered
ORD00559,"Collins, Li and Smith",337,Shipped
ORD00560,Trevino-Hoffman,67,Pending
ORD00561,Parker LLC,318,Processing
ORD00562,"Bishop, Stanley and Newman",329,Processing
ORD00563,Larson-Skinner,13,Pending
ORD00564,Davis Group,108,Pending
ORD00565,"Stout, Harris and Choi",231,Shipped
ORD00566,Patel-Ryan,406,Cancelled
ORD00567,"Wilkins, Lopez and Lindsey",340,Pending
ORD00568,Mayo and Sons,68,Cancelled
ORD00569,Adams-Perez,111,Delivered
ORD00570,"Wang, Khan and Wright",405,Pending
ORD00571,"Stephenson, Potts and Martinez",89,Delivered
ORD00572,Smith-Meza,356,Pending
ORD00573,Perez Group,12,Pending
ORD00574,Williams PLC,180,Shipped
ORD00575,Mckinney and Sons,240,Delivered
ORD00576,Ruiz-Edwards,68,Processing
ORD00577,Fields-Lindsey,302,Pending
ORD00578,"Baker, Mckinney and Stewart",72,Cancelled
ORD00579,Lin Inc,323,Pending
ORD00580,"Richardson, Richards and Arnold",230,Delivered
ORD00581,"Frost, Hamilton and Pierce",233,Shipped
ORD00582,Fitzgerald-Smith,208,Processing
ORD00583,Miller-Jones,112,Shipped
ORD00584,Sanchez Inc,139,Cancelled
ORD00585,Holland PLC,279,Pending
ORD00586,"Thomas, Sellers and Moore",207,Processing
ORD00587,Hernandez-Patterson,124,Delivered
ORD00588,Ramos-Clarke,54,Pending
ORD00589,"Phillips, Sullivan and Strickland",422,Pending
ORD00590,"Harrington, Perez and Brown",240,Cancelled
ORD00591,"Morgan, Lee and Park",441,Shipped
