shipment_id,origin,destination,delay_days
SHP00136,China,Japan,26
SHP00137,USA,Germany,2
SHP00138,Japan,USA,14
SHP00139,USA,Japan,13
SHP00140,Japan,USA,3
SHP00141,China,USA,28
SHP00142,USA,India,22
SHP00143,China,Japan,29
SHP00144,Japan,Germany,0
SHP00145,China,India,16
SHP00146,China,India,4
SHP00147,USA,USA,9
SHP00148,China,USA,15
SHP00149,Germany,USA,25
SHP00150,Germany,Japan,9
SHP00151,Germany,USA,25
SHP00152,Japan,India,12
SHP00153,India,China,12
SHP00154,USA,India,30
SHP00155,India,Germany,1
SHP00156,USA,Japan,23
SHP00157,Germany,India,27
SHP00158,USA,USA,20
SHP00159,China,Germany,18
SHP00160,Germany,China,25
SHP00161,China,India,25
SHP00162,China,Germany,16
SHP00163,Germany,USA,11
SHP00164,India,China,21
SHP00165,USA,USA,4
SHP00166,India,Japan,16
SHP00167,Japan,Japan,19
SHP00168,USA,China,17
SHP00169,India,Japan,6
SHP00170,Japan,India,0
SHP00171,Japan,China,15
SHP00172,Germany,China,6
SHP00173,Japan,Japan,23
SHP00174,India,USA,19
SHP00175,Germany,USA,14
SHP00176,USA,India,29
SHP00177,India,USA,7
SHP00178,China,USA,30
SHP00179,Germany,China,11
SHP00180,China,Germany,0
SHP00181,Germany,USA,6
SHP00182,Germany,India,9
SHP00183,India,Germany,14
SHP00184,USA,Japan,11
SHP00185,Japan,India,10
SHP00186,China,Japan,24
SHP00187,Germany,Germany,10
SHP00188,USA,India,28
SHP00189,China,Germany,0
SHP00190,India,USA,18
SHP00191,Germany,China,9
SHP00192,India,Japan,26
SHP00193,China,China,18
SHP00194,China,Japan,5
SHP00195,Germany,USA,15
SHP00196,India,China,15
SHP00197,India,Germany,29
SHP00198,China,India,2
SHP00199,Japan,China,1
SHP00200,Japan,Germany,9
SHP00201,Germany,India,19
SHP00202,USA,Japan,18
SHP00203,India,India,9
SHP00204,China,Germany,10
SHP00205,Germany,USA,14
SHP00206,Japan,India,29
SHP00207,India,China,3
SHP00208,China,India,5
SHP00209,Germany,China,5
SHP00210,Japan,Japan,19
SHP00211,Germany,China,11
SHP00212,India,China,18
SHP00213,Germany,India,25
SHP00214,India,China,19
SHP00215,India,China,2
SHP00216,Japan,China,8
SHP00217,Germany,India,28
SHP00218,China,Japan,14
SHP00219,USA,India,20
SHP00220,Japan,Germany,4
SHP00221,USA,Germany,19
SHP00222,India,Germany,3
SHP00223,India,China,24
SHP00224,China,USA,14
SHP00225,USA,India,20
SHP00226,Germany,USA,28
SHP00227,China,Japan,3
SHP00228,China,Japan,14
SHP00229,USA,Germany,28
SHP00230,India,USA,7
SHP00231,China,USA,22
SHP00232,Germany,Japan,4
SHP00233,Japan,Germany,29
SHP00234,USA,Germany,24
SHP00235,Japan,USA,2
SHP00236,Japan,USA,27
SHP00237,Japan,Germany,8
SHP00238,India,Japan,7
SHP00239,USA,Japan,22
SHP00240,Germany,Germany,23
SHP00241,USA,USA,20
SHP00242,Germany,China,18
SHP00243,Germany,USA,22
SHP00244,China,Japan,8
SHP00245,Japan,Japan,12
SHP00246,Japan,China,18
SHP00247,USA,Japan,25
SHP00248,Germany,Japan,7
SHP00249,Japan,India,11
SHP00250,Germany,China,17
SHP00251,China,India,29
SHP00252,Germany,India,6
SHP00253,Germany,Japan,24
SHP00254,India,China,9
SHP00255,USA,Germany,14
SHP00256,USA,India,8
SHP00257,USA,USA,8
SHP00258,China,Germany,14
SHP00259,India,India,14
SHP00260,Germany,Germany,23
SHP00261,India,China,27
SHP00262,China,USA,1
SHP00263,Japan,USA,1
SHP00264,India,USA,16
SHP00265,India,China,5
SHP00266,USA,Japan,25
SHP00267,China,India,13
SHP00268,India,Germany,5
SHP00269,Japan,Japan,15
SHP00270,Germany,Japan,14
SHP00271,India,Japan,24
SHP00272,Japan,Germany,18
SHP00273,India,Japan,18
SHP00274,China,China,0
SHP00275,USA,Japan,14
SHP00276,China,India,21
SHP00277,USA,India,18
SHP00278,USA,Germany,19
SHP00279,China,USA,22
SHP00280,Japan,China,10
SHP00281,Japan,USA,23
SHP00282,Germany,India,24
SHP00283,China,India,4
SHP00284,Japan,China,10
SHP00285,India,USA,20
SHP00286,India,Germany,5
SHP00287,Germany,India,21
SHP00288,Germany,USA,9
SHP00289,India,China,12
SHP00290,Germany,Japan,20
SHP00291,Germany,Japan,15
SHP00292,Germany,China,7
SHP00293,USA,USA,19
SHP00294,Germany,Japan,12
SHP00295,China,India,23
SHP00296,India,China,14
SHP00297,China,India,24
SHP00298,Japan,Germany,8
SHP00299,China,Germany,8
SHP00300,Germany,China,27
SHP00301,USA,China,19
SHP00302,India,China,30
SHP00303,USA,Japan,22
SHP00304,India,USA,25
SHP00305,Germany,Japan,14
SHP00306,USA,Germany,21
SHP00307,India,China,27
SHP00308,USA,Germany,26
SHP00309,India,USA,24
SHP00310,USA,China,4
SHP00311,China,China,26
SHP00312,USA,China,1
SHP00313,China,Japan,16
SHP00314,Germany,Germany,16
SHP00315,China,USA,5
SHP00316,China,USA,6
SHP00317,Japan,USA,0
SHP00318,USA,India,3
SHP00319,China,Germany,29
SHP00320,India,Japan,26
SHP00321,USA,India,15
SHP00322,Germany,Germany,20
SHP00323,India,India,16
SHP00324,USA,India,22
SHP00325,Germany,India,4
SHP00326,China,USA,29
SHP00327,Japan,Germany,30
SHP00328,China,Japan,6
SHP00329,USA,Japan,28
SHP00330,USA,USA,6
SHP00331,India,Japan,30
SHP00332,USA,India,21
SHP00333,Germany,China,7
SHP00334,China,Japan,16
SHP00335,USA,Japan,0
SHP00336,Germany,Japan,8
SHP00337,USA,Germany,27
SHP00338,Japan,China,17
SHP00339,Germany,Germany,9
SHP00340,Japan,USA,20
SHP00341,Japan,Germany,2
SHP00342,India,Japan,8
SHP00343,China,USA,30
SHP00344,China,USA,18
SHP00345,USA,USA,18
SHP00346,USA,Germany,17
SHP00347,China,China,18
SHP00348,Japan,China,12
SHP00349,Germany,Germany,0
SHP00350,Japan,India,14
SHP00351,Germany,Japan,8
SHP00352,USA,China,30
SHP00353,Germany,USA,24
SHP00354,China,Germany,10
SHP00355,India,Japan,24
SHP00356,USA,Japan,16
SHP00357,India,India,15
SHP00358,Japan,India,24
SHP00359,China,USA,2
SHP00360,India,Germany,10
SHP00361,India,Japan,8
SHP00362,China,Germany,12
SHP00363,Germany,India,11
SHP00364,Japan,China,15
SHP00365,Japan,India,5
SHP00366,China,India,21
SHP00367,USA,USA,29
SHP00368,China,India,17
SHP00369,Japan,Japan,2
SHP00370,USA,China,0
SHP00371,China,Germany,19
SHP00372,China,India,5
SHP00373,USA,China,8
SHP00374,USA,India,27
SHP00375,USA,Japan,21
SHP00376,Japan,Japan,28
SHP00377,Japan,Germany,15
SHP00378,India,China,1
SHP00379,Germany,India,26
SHP00380,Japan,Germany,30
SHP00381,India,Japan,28
SHP00382,USA,Germany,28
SHP00383,China,India,15
SHP00384,USA,India,22
SHP00385,Japan,India,5
SHP00386,USA,Japan,13
SHP00387,India,India,7
SHP00388,USA,India,24
SHP00389,China,India,9
SHP00390,Germany,USA,17
SHP00391,India,Japan,4
SHP00392,Japan,China,6
SHP00393,China,Germany,4
SHP00394,Japan,USA,24
SHP00395,India,India,5
SHP00396,Japan,Germany,24
SHP00397,India,China,6
SHP00398,Japan,USA,27
SHP00399,Germany,China,8
SHP00400,Japan,Japan,22
SHP00401,India,Japan,27
SHP00402,Germany,China,10
SHP00403,India,China,1
SHP00404,USA,India,2
SHP00405,India,Japan,10
SHP00406,China,China,11
SHP00407,China,Germany,12
SHP00408,USA,China,2
SHP00409,Germany,India,24
SHP00410,Japan,China,20
SHP00411,India,China,20
SHP00412,Germany,Japan,17
SHP00413,USA,Germany,16
SHP00414,Japan,China,27
SHP00415,Japan,USA,24
SHP00416,China,Germany,15
SHP00417,China,USA,13
SHP00418,USA,China,11
SHP00419,Germany,India,16
SHP00420,Japan,China,8
SHP00421,India,Japan,18
SHP00422,USA,Germany,30
SHP00423,Germany,Japan,11
SHP00424,Germany,USA,29
SHP00425,China,Germany,28
SHP00426,Germany,USA,15
SHP00427,Germany,India,1
SHP00428,Japan,India,28
SHP00429,USA,Japan,17
SHP00430,India,China,24
SHP00431,India,India,21
SHP00432,China,China,1
SHP00433,India,Japan,29
SHP00434,USA,China,13
SHP00435,USA,Japan,7
SHP00436,India,India,24
SHP00437,USA,Japan,7
SHP00438,India,Japan,28
SHP00439,Japan,China,5
SHP00440,China,China,7
SHP00441,USA,USA,16
SHP00442,Germany,Japan,2
SHP00443,Japan,Japan,25
SHP00444,Japan,USA,23
SHP00445,China,USA,26
SHP00446,China,India,11
SHP00447,India,USA,4
SHP00448,USA,USA,15
SHP00449,Japan,Japan,2
SHP00450,Germany,China,13
SHP00451,Germany,Japan,4
SHP00452,Germany,India,2
SHP00453,China,China,19
SHP00454,Japan,China,28
SHP00455,China,China,1
SHP00456,Japan,India,16
SHP00457,China,Japan,21
SHP00458,Japan,Germany,19
SHP00459,USA,USA,20
SHP00460,China,India,0
SHP00461,USA,Japan,12
SHP00462,China,India,22
SHP00463,USA,Germany,23
SHP00464,China,Germany,10
SHP00465,Japan,India,4
SHP00466,China,Germany,23
SHP00467,Japan,Japan,2
SHP00468,Germany,USA,23
SHP00469,China,Germany,19
SHP00470,China,Japan,18
SHP00471,USA,India,12
SHP00472,Japan,USA,5
SHP00473,India,Japan,6
SHP00474,India,India,30
SHP00475,India,Germany,18
SHP00476,Germany,India,4
SHP00477,Germany,Japan,19
SHP00478,India,USA,7
SHP00479,China,Germany,30
SHP00480,China,Germany,9
SHP00481,Germany,Japan,3
SHP00482,USA,China,15
SHP00483,USA,China,20
SHP00484,Germany,USA,5
SHP00485,Germany,Germany,6
SHP00486,China,Japan,5
SHP00487,China,Germany,8
SHP00488,China,India,4
SHP00489,Japan,India,3
SHP00490,Germany,USA,30
SHP00491,Japan,India,8
SHP00492,USA,USA,6
SHP00493,USA,USA,20
SHP00494,Germany,Germany,2
SHP00495,China,India,10
SHP00496,USA,Japan,0
SHP00497,China,China,10
SHP00498,USA,China,27
SHP00499,Germany,India,18
SHP00500,Germany,China,25
SHP00501,USA,India,16
SHP00502,USA,USA,13
SHP00503,Japan,Germany,27
SHP00504,Germany,Japan,16
SHP00505,Japan,Germany,8
SHP00506,Japan,China,9
SHP00507,Germany,India,16
SHP00508,India,India,22
SHP00509,China,India,25
SHP00510,India,Japan,1
SHP00511,China,USA,24
SHP00512,USA,India,18
SHP00513,Germany,Japan,8
SHP00514,USA,Germany,3
SHP00515,China,Germany,23
SHP00516,Germany,Japan,11
SHP00517,Japan,USA,18
SHP00518,China,Germany,0
SHP00519,Japan,Germany,24
SHP00520,China,China,25
SHP00521,Germany,Germany,15
SHP00522,Japan,China,8
SHP00523,India,China,26
SHP00524,USA,USA,28
SHP00525,USA,Germany,4
SHP00526,China,Japan,27
SHP00527,USA,India,11
SHP00528,Japan,Germany,9
SHP00529,USA,Germany,9
SHP00530,Germany,China,2
SHP00531,Japan,USA,7
SHP00532,India,China,14
SHP00533,Japan,Germany,10
SHP00534,Germany,Germany,20
SHP00535,USA,China,0
SHP00536,USA,India,24
SHP00537,Japan,India,12
SHP00538,Japan,Germany,2
SHP00539,Germany,India,15
SHP00540,India,Germany,17
SHP00541,Japan,India,23
SHP00542,China,China,7
SHP00543,USA,India,11
SHP00544,India,USA,27
SHP00545,India,Germany,1
SHP00546,China,Japan,27
SHP00547,China,China,16
SHP00548,China,China,5
SHP00549,USA,USA,14
SHP00550,India,USA,30
SHP00551,USA,Japan,11
SHP00552,India,Japan,27
SHP00553,Germany,Japan,14
SHP00554,Germany,India,21
SHP00555,India,India,4
SHP00556,USA,Japan,16
SHP00557,USA,Japan,5
SHP00558,Germany,Germany,21
SHP00559,Germany,Germany,11
SHP00560,Germany,China,29
SHP00561,India,China,28
SHP00562,USA,India,16
SHP00563,China,India,29
SHP00564,Japan,Germany,11
SHP00565,India,India,1
SHP00566,USA,Japan,10
SHP00567,USA,China,18
SHP00568,India,India,1
SHP00569,Japan,China,23
SHP00570,Germany,Japan,19
SHP00571,Germany,India,30
SHP00572,India,India,22
SHP00573,Germany,USA,5
SHP00574,Germany,USA,13
SHP00575,Japan,China,27
SHP00576,Germany,China,25
SHP00577,India,China,16
SHP00578,Germany,India,10
SHP00579,China,India,16
SHP00580,India,Japan,4
SHP00581,India,USA,29
SHP00582,Japan,Japan,9
SHP00583,China,China,22
SHP00584,Germany,Japan,8
SHP00585,China,Germany,21
SHP00586,China,India,29
SHP00587,Japan,Japan,3
SHP00588,India,India,16
SHP00589,Japan,USA,21
SHP00590,Germany,India,7
SHP00591,India,Japan,26
SHP00592,Japan,China,19
SHP00593,India,Japan,29
SHP00594,Germany,Germany,27
SHP00595,USA,USA,10
SHP00596,China,Japan,21
SHP00597,China,India,19
SHP00598,Germany,India,0
SHP00599,Germany,China,21
SHP00600,USA,Japan,6
SHP00601,Germany,China,7
SHP00602,Germany,USA,26
SHP00603,Japan,China,9
SHP00604,Germany,China,28
SHP00605,China,China,1
SHP00606,China,USA,25
SHP00607,China,India,9
SHP00608,USA,India,20
SHP00609,Germany,Japan,18
SHP00610,Germany,Japan,17
SHP00611,India,India,2
SHP00612,Germany,India,0
SHP00613,USA,USA,8
SHP00614,USA,Japan,14
SHP00615,Japan,India,20
SHP00616,USA,Japan,28
SHP00617,China,India,3
SHP00618,Germany,USA,10
SHP00619,Germany,Japan,9
SHP00620,USA,India,29
SHP00621,USA,China,5
SHP00622,China,Japan,0
SHP00623,Japan,Germany,8
SHP00624,China,China,2
SHP00625,India,USA,29
SHP00626,Japan,Germany,30
SHP00627,India,Germany,11
SHP00628,Japan,Japan,7
SHP00629,Germany,India,24
SHP00630,USA,Japan,18
SHP00631,India,USA,6
SHP00632,Germany,Germany,22
SHP00633,Germany,USA,13
SHP00634,Germany,USA,22
SHP00635,Germany,USA,1
SHP00636,USA,China,12
SHP00637,China,India,29
SHP00638,USA,India,23
SHP00639,Germany,India,16
SHP00640,USA,Japan,11
SHP00641,Japan,Germany,14
SHP00642,China,China,17
SHP00643,China,China,21
SHP00644,Germany,Germany,15
SHP00645,Japan,Germany,26
SHP00646,Germany,Japan,0
SHP00647,India,Japan,23
SHP00648,Japan,USA,3
SHP00649,Germany,China,25
SHP00650,India,Japan,15
SHP00651,China,Germany,7
SHP00652,China,India,9
SHP00653,India,USA,5
SHP00654,USA,Japan,25
SHP00655,China,China,0
SHP00656,Japan,India,13
SHP00657,Japan,Germany,10
SHP00658,USA,Japan,23
SHP00659,India,USA,8
SHP00660,Germany,China,6
SHP00661,USA,Germany,6
SHP00662,USA,India,19
SHP00663,India,USA,8
SHP00664,Germany,China,14
SHP00665,India,Germany,15
SHP00666,USA,Germany,18
SHP00667,Japan,India,9
SHP00668,USA,Germany,27
SHP00669,China,Germany,24
SHP00670,India,Japan,12
SHP00671,Germany,China,29
SHP00672,USA,USA,26
SHP00673,India,China,7
SHP00674,USA,Germany,28
SHP00675,China,USA,23
SHP00676,China,Germany,25
SHP00677,USA,China,4
SHP00678,India,China,26
SHP00679,China,Japan,16
SHP00680,Japan,Japan,18
SHP00681,China,India,2
SHP00682,India,Germany,17
SHP00683,China,India,6
SHP00684,Japan,Japan,22
SHP00685,India,India,2
SHP00686,Germany,Germany,3
SHP00687,Germany,China,28
SHP00688,China,Germany,22
SHP00689,Germany,Germany,29
SHP00690,India,Japan,5
SHP00691,Germany,India,28
SHP00692,USA,Germany,18
SHP00693,India,Germany,12
SHP00694,Germany,India,21
SHP00695,India,USA,29
SHP00696,USA,Japan,1
SHP00697,USA,USA,4
SHP00698,China,Japan,2
SHP00699,USA,China,16
SHP00700,Japan,USA,10
SHP00701,Germany,USA,9
SHP00702,India,Germany,22
SHP00703,China,India,0
SHP00704,Germany,USA,29
SHP00705,USA,Japan,14
SHP00706,China,India,26
SHP00707,Germany,India,25
SHP00708,USA,India,22
SHP00709,China,USA,3
SHP00710,Japan,Germany,23
SHP00711,India,Germany,23
SHP00712,India,Germany,7
SHP00713,China,Germany,30
SHP00714,Germany,Japan,20
SHP00715,India,USA,9
SHP00716,China,China,13
SHP00717,USA,USA,24
SHP00718,China,Germany,16
SHP00719,India,India,27
SHP00720,Japan,USA,11
SHP00721,USA,India,7
SHP00722,USA,India,16
SHP00723,Japan,India,26
SHP00724,Japan,Japan,10
SHP00725,Germany,USA,30
SHP00726,Japan,Japan,15
SHP00727,China,India,16
SHP00728,USA,China,24
SHP00729,USA,Japan,4
SHP00730,China,India,18
SHP00731,Japan,China,8
SHP00732,Japan,India,10
SHP00733,Germany,China,3
SHP00734,India,India,15
SHP00735,USA,Japan,15
SHP00736,India,China,30
SHP00737,China,Japan,0
SHP00738,Japan,India,19
SHP00739,China,USA,22
SHP00740,India,China,30
SHP00741,India,USA,25
SHP00742,USA,Japan,7
SHP00743,China,China,12
SHP00744,USA,India,17
SHP00745,Japan,Germany,21
SHP00746,Japan,India,17
SHP00747,Germany,China,6
SHP00748,Germany,China,28
SHP00749,China,India,5
SHP00750,China,India,9
SHP00751,Japan,India,26
SHP00752,Japan,USA,5
SHP00753,Japan,USA,30
SHP00754,USA,China,27
SHP00755,China,India,13
SHP00756,USA,USA,3
SHP00757,Japan,China,29
SHP00758,Japan,China,8
SHP00759,Germany,Japan,19
SHP00760,India,China,25
SHP00761,India,China,18
SHP00762,China,Germany,0
SHP00763,China,Germany,18
SHP00764,USA,China,26
SHP00765,India,USA,5
SHP00766,India,India,0
SHP00767,USA,Germany,6
SHP00768,China,China,22
SHP00769,Germany,China,13
SHP00770,Germany,Germany,11
SHP00771,Germany,Japan,22
SHP00772,USA,China,12
SHP00773,India,Germany,3
SHP00774,Japan,Japan,11
SHP00775,Japan,Germany,25
SHP00776,Germany,India,13
SHP00777,Germany,India,18
SHP00778,USA,Japan,16
SHP00779,India,USA,29
SHP00780,Germany,Japan,26
SHP00781,China,Germany,29
SHP00782,India,Japan,18
SHP00783,Japan,India,28
SHP00784,Japan,Germany,24
SHP00785,Japan,Japan,0
SHP00786,Japan,Japan,21
SHP00787,USA,Japan,14
SHP00788,Japan,USA,7
SHP00789,India,China,19
SHP00790,India,Japan,21
SHP00791,Japan,Japan,16
SHP00792,USA,Japan,7
SHP00793,Germany,Germany,3
SHP00794,Germany,China,3
SHP00795,USA,Germany,7
SHP00796,USA,Germany,6
SHP00797,USA,India,27
SHP00798,China,Japan,6
SHP00799,Germany,Japan,17
SHP00800,India,India,19
SHP00801,Germany,Germany,11
SHP00802,Japan,USA,19
SHP00803,India,Germany,5
SHP00804,USA,India,27
SHP00805,Japan,USA,0
SHP00806,Germany,Japan,27
SHP00807,Japan,Japan,0
SHP00808,Germany,Japan,14
SHP00809,China,Japan,7
SHP00810,China,USA,11
SHP00811,China,India,24
SHP00812,Japan,Germany,21
SHP00813,Japan,USA,25
SHP00814,Japan,China,6
SHP00815,Japan,China,10
SHP00816,Japan,India,12
SHP00817,Germany,India,18
SHP00818,Japan,India,9
SHP00819,Germany,Japan,9
SHP00820,India,Germany,5
SHP00821,India,India,3
SHP00822,China,China,24
SHP00823,China,Japan,1
SHP00824,India,Japan,17
SHP00825,Japan,Germany,2
SHP00826,Germany,Japan,25
SHP00827,India,Germany,30
SHP00828,India,USA,12
SHP00829,USA,Germany,20
SHP00830,USA,India,0
SHP00831,Germany,USA,15
SHP00832,India,Japan,27
SHP00833,China,China,2
SHP00834,Japan,Germany,14
SHP00835,India,USA,9
SHP00836,India,India,0
SHP00837,China,USA,7
SHP00838,Germany,China,24
SHP00839,Germany,USA,26
SHP00840,India,USA,17
SHP00841,Japan,China,26
SHP00842,Japan,USA,22
SHP00843,Japan,Germany,25
SHP00844,Germany,USA,24
SHP00845,India,Germany,23
SHP00846,Germany,USA,15
SHP00847,Japan,China,28
SHP00848,China,USA,21
SHP00849,USA,Germany,5
SHP00850,China,USA,23
SHP00851,India,China,30
SHP00852,USA,China,14
SHP00853,China,Japan,5
SHP00854,Germany,India,26
SHP00855,India,India,19
SHP00856,India,India,19
SHP00857,China,India,9
SHP00858,China,Japan,0
SHP00859,India,USA,4
SHP00860,India,India,27
SHP00861,Japan,USA,16
SHP00862,Germany,Germany,5
SHP00863,China,Japan,25
SHP00864,Japan,Germany,10
SHP00865,China,Japan,18
SHP00866,Germany,China,20
SHP00867,Japan,India,9
SHP00868,India,India,13
SHP00869,Germany,USA,25
SHP00870,Japan,India,22
SHP00871,USA,Germany,18
SHP00872,China,USA,6
SHP00873,Japan,USA,18
SHP00874,Germany,Japan,20
SHP00875,India,USA,30
SHP00876,Germany,China,25
SHP00877,India,India,17
SHP00878,India,India,10
SHP00879,Germany,India,18
SHP00880,China,USA,3
SHP00881,Germany,Japan,10
SHP00882,Germany,USA,14
SHP00883,Japan,USA,1
SHP00884,China,China,5
SHP00885,India,USA,4
SHP00886,India,Germany,10
SHP00887,China,USA,6
SHP00888,India,China,16
SHP00889,India,India,18
SHP00890,China,Japan,2
SHP00891,India,China,14
SHP00892,Japan,China,20
SHP00893,USA,Japan,16
SHP00894,India,USA,29
SHP00895,China,India,5
SHP00896,USA,Germany,17
SHP00897,USA,Germany,0
SHP00898,USA,China,6
SHP00899,China,Japan,25
SHP00900,Germany,India,9
SHP00901,India,India,25
SHP00902,Germany,Japan,8
SHP00903,USA,Germany,27
SHP00904,India,USA,1
SHP00905,Germany,China,0
SHP00906,Germany,USA,8
SHP00907,Japan,Germany,25
SHP00908,India,India,16
SHP00909,India,India,4
SHP00910,China,Japan,4
SHP00911,USA,China,24
SHP00912,China,China,14
SHP00913,China,China,14
SHP00914,Germany,India,10
SHP00915,China,China,2
SHP00916,Japan,China,2
SHP00917,India,USA,17
SHP00918,Japan,USA,11
SHP00919,Germany,China,18
SHP00920,Germany,China,1
SHP00921,China,China,24
SHP00922,Germany,China,20
SHP00923,USA,USA,27
SHP00924,China,India,5
SHP00925,USA,China,5
SHP00926,Germany,Japan,21
SHP00927,Germany,India,2
SHP00928,Japan,China,13
SHP00929,India,USA,9
SHP00930,India,Germany,0
SHP00931,India,China,25
SHP00932,China,China,27
SHP00933,USA,India,3
SHP00934,China,USA,26
SHP00935,Japan,USA,20
SHP00936,USA,USA,6
SHP00937,India,USA,3
SHP00938,USA,USA,0
SHP00939,China,Japan,22
SHP00940,India,USA,28
SHP00941,Germany,China,26
SHP00942,Germany,Japan,14
SHP00943,India,Germany,18
SHP00944,China,China,22
SHP00945,Japan,USA,17
SHP00946,Germany,Japan,25
SHP00947,India,Japan,23
SHP00948,Germany,India,1
SHP00949,Japan,India,30
SHP00950,Germany,Japan,9
SHP00951,USA,USA,23
SHP00952,India,Japan,4
SHP00953,India,USA,27
SHP00954,Japan,India,1
SHP00955,USA,Germany,22
SHP00956,Germany,USA,6
SHP00957,Japan,Germany,23
SHP00958,Japan,China,19
SHP00959,India,Germany,18
SHP00960,Japan,Japan,4
SHP00961,Japan,India,27
SHP00962,China,Germany,19
SHP00963,India,USA,14
SHP00964,USA,USA,4
SHP00965,USA,India,2
SHP00966,USA,USA,12
SHP00967,USA,Germany,26
SHP00968,India,India,12
SHP00969,Germany,India,12
SHP00970,Germany,India,13
SHP00971,India,Japan,7
SHP00972,Japan,China,24
SHP00973,USA,China,30
SHP00974,Japan,USA,5
SHP00975,China,USA,9
SHP00976,India,India,28
SHP00977,India,India,2
SHP00978,Japan,USA,6
SHP00979,Japan,India,23
SHP00980,India,China,20
SHP00981,Germany,Germany,22
SHP00982,USA,Germany,27
SHP00983,USA,China,27
SHP00984,India,USA,19
SHP00985,India,Germany,15
SHP00986,Japan,USA,15
SHP00987,Germany,India,20
SHP00988,USA,Japan,28
SHP00989,India,Germany,12
SHP00990,China,Germany,8
SHP00991,India,Germany,1
SHP00992,USA,Japan,14
SHP00993,China,India,6
SHP00994,China,Germany,24
SHP00995,Germany,China,28
SHP00996,India,China,2
SHP00997,USA,India,10
SHP00998,Japan,India,21
SHP00999,USA,China,26
SHP01000,USA,Japan,13
SHP01001,USA,Japan,9
