event_id,event_type,severity,impact_score
DIS00237,Earthquake,Low,84
DIS00238,Cyber Attack,Low,19
DIS00239,Cyber Attack,Low,97
DIS00240,Flood,High,74
DIS00241,Port Closure,Medium,22
DIS00242,Earthquake,Medium,3
DIS00243,Supplier Failure,Medium,50
DIS00244,Port Closure,Medium,26
DIS00245,Cyber Attack,High,26
DIS00246,Port Closure,High,1
DIS00247,Earthquake,High,29
DIS00248,Supplier Failure,High,81
DIS00249,Flood,Medium,70
DIS00250,Cyber Attack,Low,91
DIS00251,Port Closure,Low,27
DIS00252,Supplier Failure,Medium,81
DIS00253,Port Closure,Low,46
DIS00254,Cyber Attack,Low,77
DIS00255,Flood,Low,78
DIS00256,Cyber Attack,High,87
DIS00257,Flood,Low,61
DIS00258,Supplier Failure,High,24
DIS00259,Supplier Failure,High,4
DIS00260,Flood,High,47
DIS00261,Port Closure,High,60
DIS00262,Port Closure,High,7
DIS00263,Port Closure,Medium,64
DIS00264,Flood,Low,75
DIS00265,Supplier Failure,Low,65
DIS00266,Supplier Failure,Low,93
DIS00267,Flood,Medium,98
DIS00268,Flood,Medium,7
DIS00269,Flood,Medium,78
DIS00270,Supplier Failure,Medium,21
DIS00271,Earthquake,Medium,26
DIS00272,Earthquake,Low,54
DIS00273,Flood,Medium,55
DIS00274,Flood,Low,39
DIS00275,Supplier Failure,Medium,66
DIS00276,Port Closure,High,19
DIS00277,Port Closure,High,81
DIS00278,Flood,Medium,42
DIS00279,Earthquake,High,17
DIS00280,Supplier Failure,High,26
DIS00281,Supplier Failure,Low,44
DIS00282,Cyber Attack,Medium,79
DIS00283,Flood,High,31
DIS00284,Flood,High,3
DIS00285,Cyber Attack,Low,15
DIS00286,Port Closure,Medium,59
DIS00287,Earthquake,High,11
DIS00288,Supplier Failure,Medium,43
DIS00289,Port Closure,Low,50
DIS00290,Supplier Failure,Low,10
DIS00291,Supplier Failure,High,45
DIS00292,Supplier Failure,Medium,33
DIS00293,Earthquake,High,10
DIS00294,Cyber Attack,High,6
DIS00295,Cyber Attack,Low,34
DIS00296,Supplier Failure,Medium,19
DIS00297,Earthquake,High,97
DIS00298,Cyber Attack,Medium,10
DIS00299,Supplier Failure,Medium,25
DIS00300,Flood,High,29
DIS00301,Port Closure,Low,33
DIS00302,Cyber Attack,Medium,67
DIS00303,Port Closure,Medium,97
DIS00304,Flood,Medium,55
DIS00305,Earthquake,Medium,3
DIS00306,Earthquake,Medium,58
DIS00307,Supplier Failure,Medium,23
DIS00308,Port Closure,Low,100
DIS00309,Earthquake,Low,35
DIS00310,Cyber Attack,High,3
DIS00311,Cyber Attack,High,26
DIS00312,Supplier Failure,High,72
DIS00313,Port Closure,High,10
DIS00314,Flood,Medium,100
DIS00315,Earthquake,High,74
DIS00316,Cyber Attack,Low,8
DIS00317,Cyber Attack,High,79
DIS00318,Port Closure,Medium,14
DIS00319,Earthquake,High,12
DIS00320,Port Closure,Medium,48
DIS00321,Earthquake,Medium,39
DIS00322,Earthquake,Medium,43
DIS00323,Earthquake,Medium,69
DIS00324,Cyber Attack,Medium,21
DIS00325,Port Closure,Low,94
DIS00326,Port Closure,Medium,36
DIS00327,Earthquake,Medium,35
DIS00328,Supplier Failure,Low,49
DIS00329,Supplier Failure,Medium,45
DIS00330,Flood,Medium,19
DIS00331,Earthquake,Low,11
DIS00332,Earthquake,Low,39
DIS00333,Flood,High,100
DIS00334,Earthquake,Medium,57
DIS00335,Port Closure,High,74
DIS00336,Port Closure,Low,97
DIS00337,Cyber Attack,High,71
DIS00338,Cyber Attack,High,42
DIS00339,Cyber Attack,High,19
DIS00340,Earthquake,Medium,71
DIS00341,Earthquake,High,49
DIS00342,Supplier Failure,Low,77
DIS00343,Earthquake,High,68
DIS00344,Cyber Attack,Medium,58
DIS00345,Flood,High,17
DIS00346,Cyber Attack,Medium,36
DIS00347,Port Closure,High,25
DIS00348,Port Closure,Medium,66
DIS00349,Flood,High,11
DIS00350,Earthquake,Medium,79
DIS00351,Supplier Failure,High,15
DIS00352,Supplier Failure,Low,48
DIS00353,Supplier Failure,Low,51
DIS00354,Flood,Medium,60
DIS00355,Cyber Attack,Medium,24
DIS00356,Cyber Attack,Low,91
DIS00357,Port Closure,Medium,39
DIS00358,Earthquake,Medium,78
DIS00359,Port Closure,High,9
DIS00360,Cyber Attack,Low,57
DIS00361,Supplier Failure,Low,54
DIS00362,Flood,High,87
DIS00363,Cyber Attack,High,100
DIS00364,Flood,High,17
DIS00365,Flood,High,70
DIS00366,Port Closure,High,13
DIS00367,Flood,Low,65
DIS00368,Port Closure,High,3
DIS00369,Cyber Attack,High,46
DIS00370,Port Closure,High,16
DIS00371,Supplier Failure,Low,63
DIS00372,Flood,Low,100
DIS00373,Earthquake,Low,50
DIS00374,Earthquake,Low,99
DIS00375,Supplier Failure,High,46
DIS00376,Supplier Failure,Medium,31
DIS00377,Flood,High,73
DIS00378,Earthquake,High,49
DIS00379,Port Closure,Medium,65
DIS00380,Earthquake,Medium,40
DIS00381,Flood,Low,65
DIS00382,Earthquake,Medium,1
DIS00383,Cyber Attack,Medium,3
DIS00384,Flood,High,75
DIS00385,Supplier Failure,High,37
DIS00386,Flood,High,56
DIS00387,Earthquake,Low,83
DIS00388,Earthquake,High,23
DIS00389,Cyber Attack,Medium,34
DIS00390,Flood,Low,45
DIS00391,Flood,Low,20
DIS00392,Supplier Failure,Low,16
DIS00393,Port Closure,Medium,70
DIS00394,Cyber Attack,High,10
DIS00395,Supplier Failure,High,35
DIS00396,Supplier Failure,High,82
DIS00397,Supplier Failure,Medium,70
DIS00398,Earthquake,Medium,13
DIS00399,Port Closure,High,15
DIS00400,Earthquake,Low,96
DIS00401,Cyber Attack,Low,18
DIS00402,Port Closure,Low,51
DIS00403,Earthquake,Low,59
DIS00404,Earthquake,High,3
DIS00405,Supplier Failure,Low,31
DIS00406,Cyber Attack,Medium,5
DIS00407,Supplier Failure,Medium,52
DIS00408,Earthquake,Low,19
DIS00409,Cyber Attack,High,89
DIS00410,Supplier Failure,Low,59
DIS00411,Port Closure,High,35
DIS00412,Earthquake,High,41
DIS00413,Cyber Attack,Low,100
DIS00414,Earthquake,Medium,80
DIS00415,Supplier Failure,Low,54
DIS00416,Supplier Failure,Low,55
DIS00417,Supplier Failure,Low,88
DIS00418,Earthquake,Medium,30
DIS00419,Flood,Low,23
DIS00420,Flood,Medium,91
DIS00421,Port Closure,Low,44
DIS00422,Supplier Failure,Medium,22
DIS00423,Port Closure,Medium,15
DIS00424,Earthquake,Medium,50
DIS00425,Flood,Medium,53
DIS00426,Earthquake,High,79
DIS00427,Supplier Failure,Low,3
DIS00428,Earthquake,High,64
DIS00429,Earthquake,Medium,13
DIS00430,Earthquake,Low,47
DIS00431,Flood,Medium,22
DIS00432,Cyber Attack,Low,14
DIS00433,Cyber Attack,Medium,96
DIS00434,Flood,High,99
DIS00435,Supplier Failure,Low,86
DIS00436,Cyber Attack,Low,84
DIS00437,Supplier Failure,Medium,45
DIS00438,Cyber Attack,High,98
DIS00439,Port Closure,Medium,93
DIS00440,Port Closure,Low,52
DIS00441,Cyber Attack,Low,69
DIS00442,Flood,Medium,53
DIS00443,Cyber Attack,High,73
DIS00444,Supplier Failure,Low,67
DIS00445,Flood,Low,100
DIS00446,Supplier Failure,Low,87
DIS00447,Port Closure,Low,70
DIS00448,Cyber Attack,Medium,36
DIS00449,Cyber Attack,High,36
DIS00450,Cyber Attack,High,50
DIS00451,Cyber Attack,Medium,64
DIS00452,Cyber Attack,Medium,10
DIS00453,Flood,Low,12
DIS00454,Flood,Low,80
DIS00455,Supplier Failure,High,77
DIS00456,Flood,Low,48
DIS00457,Earthquake,High,34
DIS00458,Cyber Attack,Low,83
DIS00459,Port Closure,Low,81
DIS00460,Supplier Failure,High,16
DIS00461,Supplier Failure,High,7
DIS00462,Cyber Attack,Medium,40
DIS00463,Cyber Attack,Medium,9
DIS00464,Supplier Failure,High,30
DIS00465,Flood,Medium,63
DIS00466,Supplier Failure,High,29
DIS00467,Flood,Low,47
DIS00468,Flood,Low,97
DIS00469,Cyber Attack,Medium,11
DIS00470,Cyber Attack,Medium,1
DIS00471,Supplier Failure,Medium,70
DIS00472,Port Closure,Low,6
DIS00473,Supplier Failure,High,83
DIS00474,Earthquake,Low,64
DIS00475,Cyber Attack,Medium,12
DIS00476,Flood,High,55
DIS00477,Cyber Attack,Medium,38
DIS00478,Supplier Failure,Low,24
DIS00479,Earthquake,High,17
DIS00480,Cyber Attack,Medium,8
DIS00481,Flood,Medium,98
DIS00482,Port Closure,Medium,49
DIS00483,Cyber Attack,High,40
DIS00484,Port Closure,Low,93
DIS00485,Earthquake,Low,74
DIS00486,Port Closure,Medium,50
DIS00487,Port Closure,High,9
DIS00488,Cyber Attack,High,47
DIS00489,Flood,Low,16
DIS00490,Cyber Attack,Medium,7
DIS00491,Earthquake,Low,21
DIS00492,Port Closure,Low,56
DIS00493,Port Closure,Medium,96
DIS00494,Supplier Failure,Medium,77
DIS00495,Supplier Failure,High,28
DIS00496,Earthquake,High,15
DIS00497,Flood,Medium,53
DIS00498,Port Closure,High,5
DIS00499,Earthquake,High,64
DIS00500,Port Closure,Medium,33
DIS00501,Cyber Attack,High,43
DIS00502,Cyber Attack,Low,5
DIS00503,Earthquake,Medium,25
DIS00504,Supplier Failure,High,8
DIS00505,Cyber Attack,Medium,3
DIS00506,Earthquake,Medium,86
DIS00507,Supplier Failure,Low,41
DIS00508,Cyber Attack,High,72
DIS00509,Flood,High,38
DIS00510,Earthquake,Low,30
DIS00511,Supplier Failure,Low,23
DIS00512,Earthquake,Medium,64
DIS00513,Earthquake,Low,32
DIS00514,Flood,Low,47
DIS00515,Port Closure,Medium,64
DIS00516,Supplier Failure,Low,53
DIS00517,Supplier Failure,Medium,17
DIS00518,Port Closure,High,29
DIS00519,Supplier Failure,High,45
DIS00520,Earthquake,Medium,33
DIS00521,Cyber Attack,Medium,17
DIS00522,Earthquake,High,12
DIS00523,Earthquake,Low,45
DIS00524,Supplier Failure,Medium,70
DIS00525,Supplier Failure,Medium,20
DIS00526,Port Closure,Medium,42
DIS00527,Earthquake,Low,8
DIS00528,Flood,Low,21
DIS00529,Port Closure,High,61
DIS00530,Port Closure,Low,32
DIS00531,Supplier Failure,Low,52
DIS00532,Earthquake,High,83
DIS00533,Port Closure,High,29
DIS00534,Earthquake,Medium,30
DIS00535,Earthquake,High,43
DIS00536,Supplier Failure,High,56
DIS00537,Earthquake,Low,60
DIS00538,Earthquake,Low,92
DIS00539,Flood,Medium,50
DIS00540,Port Closure,Medium,70
DIS00541,Earthquake,High,82
DIS00542,Earthquake,Low,12
DIS00543,Supplier Failure,Low,89
DIS00544,Supplier Failure,Medium,16
DIS00545,Port Closure,High,23
DIS00546,Flood,Low,93
DIS00547,Flood,Medium,22
DIS00548,Port Closure,Low,27
DIS00549,Supplier Failure,Low,67
DIS00550,Supplier Failure,High,36
DIS00551,Port Closure,Medium,78
DIS00552,Supplier Failure,High,86
DIS00553,Earthquake,Medium,25
DIS00554,Earthquake,Medium,12
DIS00555,Flood,Low,48
DIS00556,Cyber Attack,High,41
DIS00557,Port Closure,High,75
DIS00558,Port Closure,High,1
DIS00559,Port Closure,High,98
DIS00560,Supplier Failure,Low,62
DIS00561,Earthquake,High,64
DIS00562,Supplier Failure,High,6
DIS00563,Port Closure,Low,63
DIS00564,Cyber Attack,Low,76
DIS00565,Supplier Failure,Low,9
DIS00566,Flood,Medium,99
DIS00567,Flood,Medium,56
DIS00568,Supplier Failure,Low,86
DIS00569,Earthquake,Low,57
DIS00570,Cyber Attack,Medium,17
DIS00571,Flood,High,36
DIS00572,Cyber Attack,High,40
DIS00573,Earthquake,Medium,69
DIS00574,Cyber Attack,Low,62
DIS00575,Port Closure,Low,52
DIS00576,Flood,Medium,66
DIS00577,Earthquake,Low,46
DIS00578,Earthquake,Low,60
DIS00579,Flood,Low,55
DIS00580,Cyber Attack,High,46
DIS00581,Flood,High,95
DIS00582,Flood,Low,5
DIS00583,Cyber Attack,Medium,17
DIS00584,Port Closure,High,28
DIS00585,Earthquake,High,97
DIS00586,Port Closure,Low,90
DIS00587,Flood,High,9
DIS00588,Cyber Attack,Medium,80
DIS00589,Earthquake,Low,96
DIS00590,Earthquake,Medium,65
DIS00591,Cyber Attack,High,13
DIS00592,Supplier Failure,Low,77
DIS00593,Earthquake,Medium,99
DIS00594,Cyber Attack,High,18
DIS00595,Supplier Failure,Medium,98
DIS00596,Port Closure,Low,92
DIS00597,Flood,Medium,73
DIS00598,Cyber Attack,High,49
DIS00599,Earthquake,High,45
DIS00600,Supplier Failure,Medium,11
DIS00601,Supplier Failure,High,16
DIS00602,Cyber Attack,Medium,94
DIS00603,Port Closure,Low,47
DIS00604,Supplier Failure,Low,63
DIS00605,Supplier Failure,High,90
DIS00606,Port Closure,Medium,81
DIS00607,Supplier Failure,High,98
DIS00608,Port Closure,Low,75
DIS00609,Cyber Attack,High,76
DIS00610,Cyber Attack,Medium,96
DIS00611,Supplier Failure,Medium,80
DIS00612,Port Closure,High,17
DIS00613,Cyber Attack,High,87
DIS00614,Port Closure,Low,26
DIS00615,Cyber Attack,Medium,13
DIS00616,Earthquake,High,44
DIS00617,Earthquake,Medium,28
DIS00618,Cyber Attack,High,100
DIS00619,Earthquake,High,61
DIS00620,Earthquake,Medium,90
DIS00621,Earthquake,Medium,35
DIS00622,Port Closure,High,49
DIS00623,Supplier Failure,Low,89
DIS00624,Earthquake,Medium,8
DIS00625,Flood,High,19
DIS00626,Supplier Failure,High,13
DIS00627,Supplier Failure,High,1
DIS00628,Cyber Attack,Medium,51
DIS00629,Supplier Failure,Medium,100
DIS00630,Earthquake,High,69
DIS00631,Flood,Medium,46
DIS00632,Flood,Medium,24
DIS00633,Earthquake,Low,61
DIS00634,Earthquake,Medium,41
DIS00635,Cyber Attack,High,38
DIS00636,Flood,Medium,92
DIS00637,Flood,Low,63
DIS00638,Cyber Attack,High,37
DIS00639,Cyber Attack,Low,34
DIS00640,Flood,Medium,79
DIS00641,Flood,Low,79
DIS00642,Earthquake,High,11
DIS00643,Earthquake,Medium,73
DIS00644,Earthquake,Medium,35
DIS00645,Cyber Attack,High,50
DIS00646,Earthquake,Low,10
DIS00647,Earthquake,High,70
DIS00648,Flood,Low,7
DIS00649,Flood,High,73
DIS00650,Flood,High,14
DIS00651,Cyber Attack,Low,23
DIS00652,Earthquake,Low,10
DIS00653,Earthquake,Medium,67
DIS00654,Supplier Failure,High,20
DIS00655,Flood,Low,90
DIS00656,Earthquake,Low,83
DIS00657,Flood,High,55
DIS00658,Cyber Attack,Low,79
DIS00659,Supplier Failure,Medium,40
DIS00660,Port Closure,High,92
DIS00661,Supplier Failure,Medium,65
DIS00662,Port Closure,Low,79
DIS00663,Port Closure,High,55
DIS00664,Cyber Attack,Low,48
DIS00665,Supplier Failure,High,40
DIS00666,Port Closure,High,44
DIS00667,Earthquake,Low,55
DIS00668,Supplier Failure,Low,53
DIS00669,Flood,Low,5
DIS00670,Port Closure,Medium,28
DIS00671,Supplier Failure,High,81
DIS00672,Flood,Low,97
DIS00673,Cyber Attack,High,51
DIS00674,Port Closure,Low,48
DIS00675,Supplier Failure,High,96
DIS00676,Supplier Failure,Medium,27
DIS00677,Supplier Failure,High,44
DIS00678,Port Closure,Low,6
DIS00679,Flood,Medium,81
DIS00680,Supplier Failure,High,95
DIS00681,Cyber Attack,High,67
DIS00682,Earthquake,High,4
DIS00683,Flood,High,96
DIS00684,Supplier Failure,Low,31
DIS00685,Earthquake,Low,62
DIS00686,Flood,Medium,68
DIS00687,Cyber Attack,High,89
DIS00688,Port Closure,Medium,59
DIS00689,Earthquake,Low,43
DIS00690,Flood,High,83
DIS00691,Earthquake,High,96
DIS00692,Earthquake,High,3
DIS00693,Flood,Medium,85
DIS00694,Supplier Failure,Low,48
DIS00695,Port Closure,High,49
DIS00696,Earthquake,Medium,46
DIS00697,Port Closure,High,46
DIS00698,Port Closure,High,100
DIS00699,Earthquake,Low,31
DIS00700,Flood,High,30
DIS00701,Cyber Attack,High,24
DIS00702,Port Closure,High,40
DIS00703,Port Closure,Medium,59
DIS00704,Earthquake,High,90
DIS00705,Port Closure,Medium,24
DIS00706,Port Closure,High,18
DIS00707,Port Closure,Medium,58
DIS00708,Flood,High,9
DIS00709,Supplier Failure,Low,18
DIS00710,Flood,Low,81
DIS00711,Earthquake,Medium,41
DIS00712,Flood,High,40
DIS00713,Port Closure,Low,40
DIS00714,Supplier Failure,High,94
DIS00715,Flood,Low,61
DIS00716,Port Closure,High,32
DIS00717,Flood,Medium,23
DIS00718,Cyber Attack,Medium,44
DIS00719,Earthquake,High,16
DIS00720,Flood,Low,24
DIS00721,Supplier Failure,Medium,14
DIS00722,Supplier Failure,High,36
DIS00723,Earthquake,Medium,67
DIS00724,Supplier Failure,Medium,15
DIS00725,Supplier Failure,High,27
DIS00726,Supplier Failure,High,76
DIS00727,Cyber Attack,Low,2
DIS00728,Flood,Medium,64
DIS00729,Port Closure,Low,83
DIS00730,Supplier Failure,Low,29
DIS00731,Cyber Attack,Low,37
DIS00732,Port Closure,High,61
DIS00733,Port Closure,Low,70
DIS00734,Flood,High,59
DIS00735,Earthquake,High,15
DIS00736,Flood,Low,25
DIS00737,Flood,Medium,45
DIS00738,Port Closure,High,35
DIS00739,Port Closure,Medium,14
DIS00740,Earthquake,Low,99
DIS00741,Flood,Low,31
DIS00742,Flood,Low,65
DIS00743,Earthquake,Medium,33
DIS00744,Port Closure,High,9
DIS00745,Flood,Low,92
DIS00746,Earthquake,Medium,76
DIS00747,Supplier Failure,Medium,70
DIS00748,Supplier Failure,High,18
DIS00749,Port Closure,Low,46
DIS00750,Port Closure,Medium,86
DIS00751,Supplier Failure,High,62
DIS00752,Flood,Low,41
DIS00753,Port Closure,Low,89
DIS00754,Supplier Failure,Low,7
DIS00755,Cyber Attack,Medium,88
DIS00756,Earthquake,Low,91
DIS00757,Flood,Medium,3
DIS00758,Flood,Medium,53
DIS00759,Earthquake,Medium,7
DIS00760,Supplier Failure,Low,95
DIS00761,Flood,Low,50
DIS00762,Cyber Attack,Medium,11
DIS00763,Cyber Attack,Low,44
DIS00764,Flood,Low,4
DIS00765,Port Closure,Medium,37
DIS00766,Cyber Attack,High,7
DIS00767,Earthquake,High,68
DIS00768,Earthquake,Medium,12
DIS00769,Supplier Failure,Medium,34
DIS00770,Flood,Low,48
DIS00771,Earthquake,Medium,15
DIS00772,Supplier Failure,Medium,47
DIS00773,Flood,Low,36
DIS00774,Supplier Failure,Low,55
DIS00775,Flood,Low,27
DIS00776,Port Closure,Low,45
DIS00777,Supplier Failure,High,73
DIS00778,Cyber Attack,Medium,17
DIS00779,Flood,Low,24
DIS00780,Earthquake,Medium,66
DIS00781,Supplier Failure,Low,80
DIS00782,Supplier Failure,Low,92
DIS00783,Earthquake,Low,18
DIS00784,Port Closure,High,70
DIS00785,Port Closure,Low,68
DIS00786,Port Closure,Low,57
DIS00787,Flood,Medium,5
DIS00788,Flood,Medium,95
DIS00789,Flood,Low,75
DIS00790,Port Closure,Low,91
DIS00791,Port Closure,High,95
DIS00792,Supplier Failure,Low,59
DIS00793,Supplier Failure,High,39
DIS00794,Earthquake,High,75
DIS00795,Supplier Failure,Medium,60
DIS00796,Cyber Attack,High,87
DIS00797,Supplier Failure,Low,16
DIS00798,Earthquake,Low,38
DIS00799,Supplier Failure,High,67
DIS00800,Port Closure,High,63
DIS00801,Earthquake,Medium,19
DIS00802,Flood,High,55
DIS00803,Cyber Attack,Low,67
