supplier_id,name,country,risk_score
SUP00137,Lee Inc,USA,75
SUP00138,"Williams, Smith and Washington",India,72
SUP00139,Hendrix-Jensen,China,39
SUP00140,Torres-Rodriguez,China,13
SUP00141,Poole-Thomas,Japan,7
SUP00142,"Hill, Mack and Santiago",Singapore,65
SUP00143,Davis-Brewer,UK,32
SUP00144,"Glover, Wilson and Parker",China,9
SUP00145,Grant and Sons,Singapore,12
SUP00146,Hoffman-Lyons,China,78
SUP00147,Humphrey Inc,India,56
SUP00148,Yang LLC,China,9
SUP00149,Riggs-Phillips,USA,97
SUP00150,Harper-Rodriguez,USA,29
SUP00151,Welch-Hoffman,UK,8
SUP00152,Malone-Gibson,UK,24
SUP00153,Li-Berry,India,72
SUP00154,Yates LLC,USA,38
SUP00155,Wright Group,Singapore,15
SUP00156,Wiley-Clark,China,68
SUP00157,James Inc,Germany,58
SUP00158,Russell Ltd,Japan,100
SUP00159,Dunn PLC,USA,72
SUP00160,Martinez Inc,Germany,54
SUP00161,Lowery PLC,USA,27
SUP00162,Gomez Group,China,81
SUP00163,Morton Group,India,29
SUP00164,Cameron-Long,USA,70
SUP00165,Patterson Inc,Germany,42
SUP00166,"Salazar, Andrews and Ramirez",Germany,71
SUP00167,Lee LLC,India,93
SUP00168,Hall Group,China,40
SUP00169,Shannon-Sanders,Singapore,35
SUP00170,Nguyen-Davis,Germany,49
SUP00171,Barker-Barry,USA,60
SUP00172,Gutierrez Inc,Germany,96
SUP00173,Wall-Browning,Germany,53
SUP00174,Thomas-Ramirez,Singapore,65
SUP00175,Reid Group,Singapore,7
SUP00176,French LLC,Japan,27
SUP00177,Harvey-Franklin,UK,90
SUP00178,Hall-Christian,USA,24
SUP00179,"Walker, Francis and Rhodes",Japan,89
SUP00180,"Gomez, Young and Tanner",Germany,59
SUP00181,Costa-Villa,India,89
SUP00182,Sharp-Foster,India,87
SUP00183,"Knight, Green and West",Japan,77
SUP00184,Park LLC,India,12
SUP00185,"Brewer, Bauer and Thomas",Japan,97
SUP00186,"Bryant, Lopez and Johnson",UK,99
SUP00187,Ramirez-Miles,Singapore,43
SUP00188,"Morgan, Gibson and Foley",UK,67
SUP00189,Best-Allen,India,61
SUP00190,"Olson, Pham and Wright",UK,46
SUP00191,Campbell PLC,India,78
SUP00192,Johnson-Carter,Singapore,1
SUP00193,Walker-English,USA,35
SUP00194,Arnold Group,Germany,28
SUP00195,Herrera-Rivas,Germany,18
SUP00196,"Carpenter, Jones and Jones",Japan,82
SUP00197,Fletcher-Perkins,Japan,95
SUP00198,Johnson-Fleming,USA,16
SUP00199,Kim-Johnson,India,56
SUP00200,Scott-Gonzalez,Japan,21
SUP00201,"Glass, Greer and Velasquez",Singapore,42
SUP00202,Young PLC,Germany,76
SUP00203,"Smith, Martin and Mccormick",Japan,53
SUP00204,"Olson, Murphy and Harris",UK,44
SUP00205,Bennett-Jenkins,Germany,31
SUP00206,"Harris, Johnson and Walker",Germany,69
SUP00207,Lopez LLC,UK,40
SUP00208,"Hughes, Fields and Obrien",Japan,10
SUP00209,"Raymond, Graham and Warren",India,9
SUP00210,Anderson-Bell,USA,9
SUP00211,"Miller, Dillon and Jones",UK,18
SUP00212,"Richardson, Estrada and Diaz",China,87
SUP00213,Rowe-Mitchell,China,72
SUP00214,Sanchez and Sons,UK,58
SUP00215,Norton Group,Singapore,17
SUP00216,Thompson Ltd,UK,98
SUP00217,Robinson Inc,Japan,75
SUP00218,Harvey Inc,UK,48
SUP00219,"Smith, Phillips and Hart",China,81
SUP00220,Howard-Mccarthy,Germany,52
SUP00221,"Martinez, Flynn and Stewart",UK,22
SUP00222,Cole Ltd,Japan,47
SUP00223,"Harris, Carpenter and Walker",USA,22
SUP00224,"Griffith, Olson and Sims",USA,3
SUP00225,Bennett-Bentley,Singapore,67
SUP00226,Johnson-Franklin,UK,19
SUP00227,"Myers, Hancock and Smith",Singapore,83
SUP00228,Hoffman-Guerrero,UK,64
SUP00229,Fernandez PLC,Japan,22
SUP00230,"Perez, Hansen and Booth",India,18
SUP00231,"Rodriguez, Stewart and Wolfe",USA,46
SUP00232,Cummings-Brown,UK,63
SUP00233,"Mendez, Garcia and Rivera",Singapore,19
SUP00234,"Simmons, Doyle and Fowler",Singapore,32
SUP00235,Nelson-Smith,India,65
SUP00236,Salazar-Murray,Singapore,37
SUP00237,"Williams, Greene and Banks",USA,67
SUP00238,Zhang-Fowler,USA,90
SUP00239,Leach-Holloway,Japan,50
SUP00240,"Baker, Finley and Smith",USA,56
SUP00241,"Spencer, Mccarty and Miller",Germany,13
SUP00242,"Henderson, Hale and Cisneros",Singapore,77
SUP00243,Williams Group,China,15
SUP00244,Wheeler-Thomas,Japan,2
SUP00245,Holland-Haney,China,85
SUP00246,Adams-Hopkins,Singapore,4
SUP00247,Beck-Parker,USA,37
SUP00248,"Garrett, Hurst and Smith",Germany,85
SUP00249,"Jackson, Stephenson and Jackson",Japan,50
SUP00250,Jackson Ltd,UK,20
SUP00251,"Gonzalez, Austin and Palmer",UK,50
SUP00252,Johnston-Mills,UK,100
SUP00253,Davis Ltd,UK,99
SUP00254,"Johnson, Campbell and Berry",China,93
SUP00255,"Grant, Sharp and Richards",India,68
SUP00256,Alvarez Inc,Japan,68
SUP00257,Bennett-Hines,China,38
SUP00258,"Shelton, Quinn and Bell",China,69
SUP00259,"Phillips, Fuentes and Collins",Singapore,68
SUP00260,"Robinson, Watson and Day",Singapore,83
SUP00261,Garrison-Wu,UK,52
SUP00262,"Edwards, Orr and Roy",China,33
SUP00263,Butler-Krueger,India,35
SUP00264,"Deleon, Morton and Medina",USA,89
SUP00265,Robinson LLC,USA,25
SUP00266,"Krueger, Montes and Johnson",Singapore,8
SUP00267,Gillespie-Miller,Japan,18
SUP00268,Knox-Gomez,UK,48
SUP00269,Maldonado PLC,Germany,29
SUP00270,Harris-Banks,Singapore,16
SUP00271,"Chavez, Shepard and Shannon",India,99
SUP00272,"Hood, Williams and Edwards",UK,39
SUP00273,"Lopez, Terry and Stein",Japan,83
SUP00274,Perkins-Bell,China,27
SUP00275,"Young, Williams and Dean",USA,76
SUP00276,"Howe, Whitney and Young",China,100
SUP00277,Hall-Martinez,China,35
SUP00278,"Banks, Miller and Murphy",Japan,67
SUP00279,Fisher PLC,Germany,21
SUP00280,"Simmons, Henry and Dalton",UK,37
SUP00281,Price-Crawford,Japan,61
SUP00282,"Hanson, Day and Daniel",China,36
SUP00283,Smith-Bowman,Germany,97
SUP00284,"Brown, Wells and Davis",Singapore,38
SUP00285,Anderson-Sullivan,India,44
SUP00286,Woods Ltd,China,40
SUP00287,Garcia Ltd,USA,80
SUP00288,"West, Hernandez and Torres",India,54
SUP00289,Kirby-Hill,China,27
SUP00290,Livingston-Morales,USA,76
SUP00291,"Adams, Garrison and Soto",China,92
SUP00292,Webb-Baldwin,Germany,53
SUP00293,"Meyer, Ross and Orr",China,32
SUP00294,"Martin, Garza and Jones",Singapore,65
SUP00295,"Lowery, Pittman and Walter",UK,65
SUP00296,Wolfe-Christensen,Germany,29
SUP00297,Nolan Ltd,Japan,82
SUP00298,Brady-Garcia,India,87
SUP00299,"Casey, Bonilla and Wolf",UK,60
SUP00300,Burgess Inc,USA,14
SUP00301,Chavez PLC,Japan,36
SUP00302,Green-Smith,Japan,7
SUP00303,"Anderson, Martin and Walter",Japan,32
SUP00304,"King, Anderson and Nelson",China,37
SUP00305,Ochoa-Gibson,Germany,90
SUP00306,"Rodriguez, Davis and Boyd",Germany,35
SUP00307,Perez Group,Japan,76
SUP00308,Mathews LLC,USA,72
SUP00309,"Adkins, Ingram and Taylor",Singapore,7
SUP00310,Wilcox Group,India,32
SUP00311,"Armstrong, Le and Kelly",USA,51
SUP00312,Robinson-Diaz,Singapore,2
SUP00313,Thompson-Robles,China,21
SUP00314,"Adams, Wilson and Cook",China,5
SUP00315,Griffith and Sons,Japan,100
SUP00316,Knox-Wong,India,94
SUP00317,Wheeler PLC,USA,84
SUP00318,Glass LLC,Singapore,81
SUP00319,Bates-Jones,Germany,69
SUP00320,Ware Ltd,Singapore,77
SUP00321,Becker and Sons,Singapore,45
SUP00322,Flores-Mann,China,51
SUP00323,Bautista-Kennedy,China,96
SUP00324,Thompson-Barker,USA,6
SUP00325,Weaver LLC,India,95
SUP00326,Lowery-Ramos,Singapore,69
SUP00327,"Smith, Boyd and Foster",Singapore,37
SUP00328,Diaz-Myers,Japan,38
SUP00329,"Harris, Martinez and Carroll",India,39
SUP00330,Peterson-Bowman,Germany,37
SUP00331,Wang Ltd,UK,35
SUP00332,Strickland-Gray,India,55
SUP00333,Watkins Inc,Japan,73
SUP00334,"Jackson, Maldonado and Houston",India,32
SUP00335,Gallagher LLC,China,84
SUP00336,Oconnor Ltd,UK,49
SUP00337,Black LLC,UK,97
SUP00338,Ingram Ltd,Japan,73
SUP00339,Patton-Miller,Singapore,13
SUP00340,Flores-Smith,UK,20
SUP00341,Reed Inc,India,73
SUP00342,Hunt Ltd,USA,79
SUP00343,Hicks PLC,India,29
SUP00344,"Reyes, Lyons and Morris",Singapore,60
SUP00345,"Gonzales, Calderon and Summers",China,14
SUP00346,Bush Inc,Japan,83
SUP00347,Franklin-Robinson,China,79
SUP00348,Hardin Group,UK,81
SUP00349,Stewart and Sons,Japan,75
SUP00350,Dalton and Sons,Singapore,79
SUP00351,Lopez-Mcbride,India,81
SUP00352,Williams-Castillo,Germany,10
SUP00353,"Romero, Webb and Myers",India,76
SUP00354,Strong-Lyons,Singapore,7
SUP00355,"Mendez, Floyd and Hughes",UK,36
SUP00356,Prince LLC,UK,83
SUP00357,Sutton LLC,India,83
SUP00358,Lang Group,UK,80
SUP00359,Peterson-Moreno,Japan,37
SUP00360,Fuller-Huerta,Germany,35
SUP00361,Wyatt-Armstrong,Japan,15
SUP00362,Villarreal-Lee,Singapore,97
SUP00363,Delgado-Miller,UK,73
SUP00364,Farley PLC,Japan,37
SUP00365,Lyons Inc,China,86
SUP00366,Wilkins LLC,UK,56
SUP00367,Bell-Willis,UK,55
SUP00368,"Chang, Fitzgerald and Russell",China,28
SUP00369,"Lowery, Anderson and Walker",UK,60
SUP00370,Dodson Group,Singapore,40
SUP00371,Estrada LLC,Singapore,86
SUP00372,Mitchell-Fisher,India,49
SUP00373,Lynch Ltd,UK,71
SUP00374,"Morales, Ross and Butler",USA,77
SUP00375,Park-Miles,UK,92
SUP00376,"Thompson, Fuller and Mcdonald",UK,81
SUP00377,"Howard, Padilla and Paul",India,86
SUP00378,"Williams, Sullivan and Clark",Singapore,39
SUP00379,"Graham, Perez and Jones",Germany,16
SUP00380,Crane Group,UK,82
SUP00381,Hartman-Smith,Japan,9
SUP00382,Frank-Shepherd,USA,24
SUP00383,Watson-Berry,India,85
SUP00384,Hernandez-Wilson,Singapore,97
SUP00385,"White, Wilson and Mclaughlin",Singapore,31
SUP00386,"Diaz, Ortega and Reed",Singapore,54
SUP00387,"Liu, Taylor and Jordan",China,82
SUP00388,Thompson Group,USA,67
SUP00389,Jones LLC,UK,54
SUP00390,"Hayes, Cook and Lam",Germany,97
SUP00391,Bell and Sons,Germany,22
SUP00392,"James, Carroll and Johnson",Singapore,93
SUP00393,Rodriguez Group,China,33
SUP00394,"Clark, Keller and Thompson",Singapore,80
SUP00395,Hines PLC,UK,26
SUP00396,Marshall PLC,China,59
SUP00397,Nelson LLC,China,21
SUP00398,Johnson-Pearson,UK,37
SUP00399,Stanley-Miranda,Japan,98
SUP00400,"Boone, Silva and Cole",China,45
SUP00401,Gonzales and Sons,Singapore,99
SUP00402,Jackson-Jackson,Germany,3
SUP00403,"Fischer, Perkins and Ballard",UK,6
SUP00404,"Suarez, Lambert and Moreno",India,82
SUP00405,Nguyen-Stone,Singapore,62
SUP00406,"Lamb, Navarro and Scott",Japan,20
SUP00407,Gonzalez-Williams,Germany,68
SUP00408,Smith Ltd,Japan,48
SUP00409,"Williams, Davis and Salazar",UK,96
SUP00410,Rodriguez Ltd,China,19
SUP00411,May Ltd,India,3
SUP00412,Stevenson Inc,UK,59
SUP00413,Gibbs-Daniels,Singapore,11
SUP00414,Lawson Inc,China,39
SUP00415,Peterson-Thompson,UK,78
SUP00416,Mullins-Adams,China,46
SUP00417,Kelly LLC,UK,62
SUP00418,"Williams, Davis and Duarte",India,1
SUP00419,"Burns, Brown and Petersen",Germany,97
SUP00420,"Serrano, Green and Padilla",India,9
SUP00421,"Shaw, Perez and Mcdonald",USA,98
SUP00422,"Potts, Miles and Ramos",India,64
SUP00423,Shelton-Lambert,India,67
SUP00424,"Moran, Santana and Bailey",Germany,64
SUP00425,Evans-Harris,China,3
SUP00426,Dennis-Garcia,Japan,48
SUP00427,"Martin, Baxter and Campbell",UK,74
SUP00428,Bryant Inc,USA,1
SUP00429,"Thompson, Torres and Wagner",Singapore,33
SUP00430,Anderson Inc,UK,25
SUP00431,Jackson LLC,India,72
SUP00432,Gomez-Turner,Singapore,44
SUP00433,"Hogan, Reynolds and Joseph",Germany,91
SUP00434,Ross-Patterson,India,55
SUP00435,"Stewart, Forbes and Campos",Singapore,14
SUP00436,Sanders-Snyder,Germany,22
SUP00437,Williams-Johnson,Germany,99
SUP00438,Blair-Martin,Japan,1
SUP00439,"Rice, Thompson and Thomas",Germany,59
SUP00440,Brown PLC,Japan,76
SUP00441,"Martin, Valencia and Reed",UK,35
SUP00442,Williams PLC,UK,91
SUP00443,Villa PLC,UK,85
SUP00444,Carson-Harris,USA,30
SUP00445,Brown-Jones,USA,49
SUP00446,Duncan Group,Germany,50
SUP00447,Harris-Moore,Singapore,62
SUP00448,"Jimenez, Duarte and Ruiz",China,14
SUP00449,Brown-Cooper,Singapore,92
SUP00450,"Williams, Hansen and Haynes",Germany,13
SUP00451,Nelson-Estrada,USA,79
SUP00452,Maldonado LLC,USA,60
SUP00453,Flores-Spencer,Singapore,74
SUP00454,Best-Gonzalez,Japan,57
SUP00455,Evans-Harris,Singapore,92
SUP00456,Craig-Jackson,Singapore,73
SUP00457,Thompson-Greer,USA,58
SUP00458,Whitaker-Abbott,USA,92
SUP00459,Harper-Griffin,Singapore,59
SUP00460,"Scott, Small and White",Japan,33
SUP00461,Reyes LLC,USA,10
SUP00462,"Pena, Morales and Mccarthy",China,73
SUP00463,Anderson-Stein,Japan,75
SUP00464,"Johnson, Sheppard and Mitchell",Japan,68
SUP00465,Gonzalez-Hicks,Germany,29
SUP00466,Kim Ltd,USA,41
SUP00467,"Gross, Vance and Thornton",India,45
SUP00468,"Marshall, Rios and Johnson",China,85
SUP00469,Carrillo and Sons,Japan,45
SUP00470,"Davis, Small and Morgan",Japan,37
SUP00471,"Tapia, Garrison and Lopez",Singapore,100
SUP00472,Hoffman Inc,Japan,39
SUP00473,"Campbell, Bennett and Ramsey",Germany,19
SUP00474,Burton-Hayes,Japan,85
SUP00475,Allison Inc,Japan,92
SUP00476,"Day, Stuart and Williams",USA,20
SUP00477,"Green, Hart and Barber",Singapore,37
SUP00478,Green-Gomez,USA,88
SUP00479,Brown-Dillon,USA,90
SUP00480,Greer LLC,China,1
SUP00481,"Ware, Ryan and Smith",USA,4
SUP00482,Wilson and Sons,India,76
SUP00483,Arellano-Jennings,UK,78
SUP00484,Taylor-Rush,USA,5
SUP00485,Alexander-Ortiz,USA,90
SUP00486,Conley LLC,Japan,21
SUP00487,Anderson-Nichols,UK,21
SUP00488,Hernandez and Sons,UK,47
SUP00489,Baxter Group,UK,51
SUP00490,"Welch, Flynn and Hernandez",Singapore,96
SUP00491,Jackson PLC,USA,54
SUP00492,Atkinson Group,India,46
SUP00493,Gonzalez Group,China,84
SUP00494,"Williams, Davis and Diaz",Japan,42
SUP00495,"Stanton, Bullock and Miller",Japan,20
SUP00496,"Burnett, Thomas and Reeves",India,17
SUP00497,Nash-Moran,Singapore,96
SUP00498,Butler PLC,UK,98
SUP00499,"Lamb, Moore and Martinez",Singapore,83
SUP00500,"Ramirez, Phillips and Bishop",USA,79
SUP00501,Roberts Group,Singapore,69
SUP00502,Lloyd PLC,USA,98
SUP00503,Bryan LLC,USA,37
SUP00504,Logan LLC,India,38
SUP00505,Roy-Ellis,India,53
SUP00506,"Mack, Weber and Sweeney",India,29
SUP00507,"Adams, Thomas and Murray",China,95
SUP00508,"Hernandez, White and Bowman",Japan,55
SUP00509,Hutchinson-Johnson,Germany,40
SUP00510,Smith-Carter,Singapore,19
SUP00511,Kerr-Patrick,USA,51
SUP00512,"Young, Kim and Hogan",UK,35
SUP00513,Price LLC,UK,54
SUP00514,Boyd-Rogers,USA,6
SUP00515,Shepherd-Hahn,Singapore,9
SUP00516,"Newton, Rivera and Reyes",Singapore,55
SUP00517,Sanders-Mills,Singapore,84
SUP00518,"Hall, Acosta and Johnson",Japan,54
SUP00519,Parker-Jones,India,18
SUP00520,"Anderson, Daniels and Mcmillan",UK,41
SUP00521,Casey-Johnson,India,89
SUP00522,Kirk-Adams,Germany,46
SUP00523,White Group,China,83
SUP00524,"Tanner, Nguyen and Mccoy",Germany,87
SUP00525,Wallace-Saunders,Germany,29
SUP00526,Jackson-Brown,Singapore,23
SUP00527,Powell LLC,Japan,52
SUP00528,"Adams, Allen and Diaz",Japan,80
SUP00529,Garcia Inc,Singapore,57
SUP00530,"Smith, Christian and Diaz",India,51
SUP00531,"Parker, Moon and Ramirez",Germany,87
SUP00532,"Dickson, Wright and Flores",Singapore,50
SUP00533,Turner-Wilcox,Germany,85
SUP00534,Singh-Blankenship,Germany,21
SUP00535,"Calhoun, Flowers and Smith",India,33
SUP00536,"Rodriguez, Alvarez and Berger",Germany,90
SUP00537,Waters-Hensley,Japan,85
SUP00538,Simon-Greer,Singapore,54
SUP00539,Reed Inc,China,88
SUP00540,Williams Ltd,Japan,61
SUP00541,"Mays, Randall and Thomas",USA,99
SUP00542,Watson Group,China,61
SUP00543,Thompson Ltd,Germany,27
SUP00544,Wyatt and Sons,Singapore,47
SUP00545,"Kaiser, Lyons and Mccarthy",Japan,49
SUP00546,Riley-Beasley,USA,67
SUP00547,"Perez, Gibson and Wilson",China,83
SUP00548,Silva-Smith,USA,80
SUP00549,Torres and Sons,Japan,77
SUP00550,Gibbs-Hill,USA,33
SUP00551,Smith LLC,Germany,74
SUP00552,"Gross, Brown and Perez",Germany,62
SUP00553,Graham Ltd,UK,11
SUP00554,"Williams, Gomez and Stephens",USA,5
SUP00555,Quinn Inc,Germany,40
SUP00556,Wilkinson-Perez,Singapore,45
SUP00557,Calderon-Perkins,India,16
SUP00558,"Diaz, Lang and Miller",Germany,97
SUP00559,Brady-Brooks,China,40
SUP00560,Montgomery LLC,China,89
SUP00561,Roman LLC,USA,96
SUP00562,White LLC,Singapore,62
SUP00563,Lyons-Farmer,China,73
SUP00564,Lawson LLC,Germany,94
SUP00565,Hernandez Inc,China,65
SUP00566,Taylor-Mcpherson,China,40
SUP00567,Goodwin LLC,China,72
SUP00568,"Black, Fowler and Cortez",Japan,55
SUP00569,Alexander-Wise,Germany,1
SUP00570,Carter-Barnes,USA,49
SUP00571,"Brown, Aguirre and Gray",Singapore,61
SUP00572,Green-Love,Singapore,44
SUP00573,"Parks, Matthews and Williams",USA,75
SUP00574,Pierce-Velazquez,Japan,70
SUP00575,Martin Group,Japan,11
SUP00576,Thompson-Garza,Japan,75
SUP00577,Reyes Ltd,Germany,91
SUP00578,Bush-Deleon,Japan,74
SUP00579,Smith-Harvey,China,61
SUP00580,Frank-Kim,China,55
SUP00581,Scott PLC,Germany,10
SUP00582,Jones-Mills,Singapore,12
SUP00583,"Kelley, Guerrero and Choi",USA,35
SUP00584,Williams Inc,UK,49
SUP00585,Roberts-Wright,China,27
SUP00586,"Mills, Hardy and Adams",Germany,14
SUP00587,Brooks Ltd,USA,90
SUP00588,Martin-Ramos,Singapore,93
SUP00589,"Marshall, Rodriguez and Rogers",India,63
SUP00590,Lee and Sons,Japan,15
SUP00591,Ritter LLC,Germany,2
SUP00592,Henry-Woods,Singapore,80
SUP00593,Myers PLC,India,69
SUP00594,"Osborne, Daniels and Fisher",Singapore,32
SUP00595,Brown Group,India,65
SUP00596,Cox LLC,India,18
SUP00597,Richards-Mathews,Japan,77
SUP00598,"Ferrell, Vasquez and Smith",Japan,32
SUP00599,Rodriguez-Benjamin,UK,40
SUP00600,Barnes-Ellison,UK,13
SUP00601,"Fuller, Richardson and Baker",Germany,45
SUP00602,"Odom, Mack and Morrison",USA,78
SUP00603,"Lee, Baker and Mills",Japan,29
SUP00604,Andrade-Bryan,USA,17
SUP00605,Sanders LLC,India,26
SUP00606,"Kelly, Yoder and Robertson",Japan,45
SUP00607,Lopez-Brown,China,61
SUP00608,Brown-Davis,China,92
SUP00609,Brown Inc,China,40
SUP00610,"King, King and Ramirez",India,31
SUP00611,"Hernandez, Smith and Smith",India,10
SUP00612,David LLC,Japan,96
SUP00613,Holden and Sons,India,63
SUP00614,Patel-Larson,USA,57
SUP00615,Day-Perkins,Japan,17
SUP00616,"Warren, Ayala and Green",India,8
SUP00617,Vega PLC,China,66
SUP00618,"Harris, Torres and Martinez",UK,97
SUP00619,"Robbins, Alexander and Dunn",China,88
SUP00620,Castillo-Williams,Germany,6
SUP00621,Smith-Ellison,Japan,25
SUP00622,Miller Inc,Singapore,40
SUP00623,Rose-Garcia,Singapore,82
SUP00624,Reyes-Wilson,Singapore,87
SUP00625,"Robbins, Dickson and Jordan",Japan,90
SUP00626,Jones-Smith,China,31
SUP00627,Nelson-Garcia,USA,48
SUP00628,Wood-Robinson,UK,5
SUP00629,Fernandez Group,Japan,60
SUP00630,Fletcher Inc,USA,41
SUP00631,Fernandez PLC,Germany,5
SUP00632,Garner-Hart,Germany,10
SUP00633,Lopez-Aguirre,Singapore,83
SUP00634,"Mcfarland, Lowe and Patel",Singapore,33
SUP00635,"Hernandez, Cervantes and Murphy",Germany,60
SUP00636,"Huang, Johnston and Howell",Japan,77
SUP00637,"Jacobson, Robinson and Moore",UK,36
SUP00638,George and Sons,Singapore,39
