sku,product,current_stock,reorder_point
SKU00067,Product-67,681,1408
SKU00068,Product-68,7,500
SKU00069,Product-69,9023,1471
SKU00070,Product-70,6091,1189
SKU00071,Product-71,4082,1261
SKU00072,Product-72,7626,541
SKU00073,Product-73,8118,934
SKU00074,Product-74,2378,1489
SKU00075,Product-75,505,752
SKU00076,Product-76,3011,1783
SKU00077,Product-77,3650,594
SKU00078,Product-78,7045,823
SKU00079,Product-79,8025,794
SKU00080,Product-80,1421,1062
SKU00081,Product-81,1669,1630
SKU00082,Product-82,9421,1705
SKU00083,Product-83,1648,1698
SKU00084,Product-84,3183,399
SKU00085,Product-85,662,495
SKU00086,Product-86,1249,858
SKU00087,Product-87,2685,288
SKU00088,Product-88,2621,1778
SKU00089,Product-89,5971,1811
SKU00090,Product-90,8305,1052
SKU00091,Product-91,5969,1471
SKU00092,Product-92,1318,1992
SKU00093,Product-93,3192,349
SKU00094,Product-94,3180,65
SKU00095,Product-95,7614,989
SKU00096,Product-96,5195,1065
SKU00097,Product-97,5615,1133
SKU00098,Product-98,3473,1093
SKU00099,Product-99,268,1592
SKU00100,Product-100,3371,300
SKU00101,Product-101,1066,1458
SKU00102,Product-102,4649,822
SKU00103,Product-103,5900,553
SKU00104,Product-104,2244,583
SKU00105,Product-105,7346,1482
SKU00106,Product-106,4538,1731
SKU00107,Product-107,6990,283
SKU00108,Product-108,8078,224
SKU00109,Product-109,1746,1647
SKU00110,Product-110,739,1383
SKU00111,Product-111,366,1987
SKU00112,Product-112,5056,855
SKU00113,Product-113,6745,1014
SKU00114,Product-114,4417,1653
SKU00115,Product-115,554,268
SKU00116,Product-116,2797,1100
SKU00117,Product-117,1871,877
SKU00118,Product-118,7150,1746
SKU00119,Product-119,5544,1113
SKU00120,Product-120,3076,934
SKU00121,Product-121,5253,71
SKU00122,Product-122,871,427
SKU00123,Product-123,7682,1085
SKU00124,Product-124,8664,906
SKU00125,Product-125,696,1390
SKU00126,Product-126,4743,546
SKU00127,Product-127,8183,345
SKU00128,Product-128,9337,892
SKU00129,Product-129,5681,898
SKU00130,Product-130,6604,1152
SKU00131,Product-131,3619,1903
SKU00132,Product-132,180,261
SKU00133,Product-133,7844,1677
SKU00134,Product-134,3085,1407
SKU00135,Product-135,7734,737
SKU00136,Product-136,6576,955
SKU00137,Product-137,1632,1721
SKU00138,Product-138,3697,87
SKU00139,Product-139,9081,171
SKU00140,Product-140,9729,1974
SKU00141,Product-141,6531,1688
SKU00142,Product-142,9609,1234
SKU00143,Product-143,2851,1711
SKU00144,Product-144,407,1174
SKU00145,Product-145,2022,972
SKU00146,Product-146,910,468
SKU00147,Product-147,8063,459
SKU00148,Product-148,7189,1450
SKU00149,Product-149,2888,1111
SKU00150,Product-150,66,292
SKU00151,Product-151,5475,568
SKU00152,Product-152,7083,128
SKU00153,Product-153,1796,719
SKU00154,Product-154,5366,1555
SKU00155,Product-155,5314,1240
SKU00156,Product-156,2091,762
SKU00157,Product-157,1566,468
SKU00158,Product-158,4849,1123
SKU00159,Product-159,572,911
SKU00160,Product-160,8282,702
SKU00161,Product-161,7275,920
SKU00162,Product-162,1371,1779
SKU00163,Product-163,8137,620
SKU00164,Product-164,5078,722
SKU00165,Product-165,2740,267
SKU00166,Product-166,2397,1141
SKU00167,Product-167,5313,600
SKU00168,Product-168,8319,1466
SKU00169,Product-169,7466,1353
SKU00170,Product-170,3085,1393
SKU00171,Product-171,6394,1235
SKU00172,Product-172,7958,245
SKU00173,Product-173,3733,1569
SKU00174,Product-174,7923,140
SKU00175,Product-175,448,1564
SKU00176,Product-176,4368,1703
SKU00177,Product-177,8160,382
SKU00178,Product-178,6313,930
SKU00179,Product-179,6648,260
SKU00180,Product-180,9922,1851
SKU00181,Product-181,2445,81
SKU00182,Product-182,6168,638
SKU00183,Product-183,5385,469
SKU00184,Product-184,1672,841
SKU00185,Product-185,5586,1132
SKU00186,Product-186,51,1591
SKU00187,Product-187,1352,316
SKU00188,Product-188,2248,1124
SKU00189,Product-189,8987,1640
SKU00190,Product-190,8593,1063
SKU00191,Product-191,2857,1315
SKU00192,Product-192,2455,765
SKU00193,Product-193,113,191
SKU00194,Product-194,2763,1723
SKU00195,Product-195,9187,521
SKU00196,Product-196,1330,710
SKU00197,Product-197,577,1222
SKU00198,Product-198,6168,776
SKU00199,Product-199,9455,351
SKU00200,Product-200,1504,711
SKU00201,Product-201,2230,1729
SKU00202,Product-202,333,515
SKU00203,Product-203,4862,1197
SKU00204,Product-204,2534,97
SKU00205,Product-205,4087,785
SKU00206,Product-206,6245,1418
SKU00207,Product-207,7403,611
SKU00208,Product-208,8039,1958
SKU00209,Product-209,1597,470
SKU00210,Product-210,3935,1849
SKU00211,Product-211,9655,1583
SKU00212,Product-212,3567,916
SKU00213,Product-213,6009,929
SKU00214,Product-214,8409,409
SKU00215,Product-215,2973,1400
SKU00216,Product-216,5629,1428
SKU00217,Product-217,4891,1159
SKU00218,Product-218,5114,266
SKU00219,Product-219,9504,708
SKU00220,Product-220,3478,509
SKU00221,Product-221,9067,1937
SKU00222,Product-222,9347,1100
SKU00223,Product-223,3726,272
SKU00224,Product-224,9850,92
SKU00225,Product-225,7793,1989
SKU00226,Product-226,4861,361
SKU00227,Product-227,7298,1370
SKU00228,Product-228,5359,209
SKU00229,Product-229,6424,1486
SKU00230,Product-230,7466,827
SKU00231,Product-231,7817,1754
SKU00232,Product-232,4511,1740
SKU00233,Product-233,1508,1541
SKU00234,Product-234,1026,864
SKU00235,Product-235,3398,1783
SKU00236,Product-236,2133,247
SKU00237,Product-237,2196,1832
SKU00238,Product-238,9299,903
SKU00239,Product-239,2557,1923
SKU00240,Product-240,6607,1148
SKU00241,Product-241,9940,1099
SKU00242,Product-242,3610,1369
SKU00243,Product-243,365,806
SKU00244,Product-244,6347,1127
SKU00245,Product-245,3992,598
SKU00246,Product-246,9416,1489
SKU00247,Product-247,5541,580
SKU00248,Product-248,5934,669
SKU00249,Product-249,6759,626
SKU00250,Product-250,7120,76
SKU00251,Product-251,9756,176
SKU00252,Product-252,2043,1129
SKU00253,Product-253,1668,1408
SKU00254,Product-254,4934,564
SKU00255,Product-255,6560,585
SKU00256,Product-256,708,742
SKU00257,Product-257,1414,434
SKU00258,Product-258,1690,368
SKU00259,Product-259,4820,1396
SKU00260,Product-260,1281,1405
SKU00261,Product-261,7548,723
SKU00262,Product-262,8112,1105
SKU00263,Product-263,9321,1261
SKU00264,Product-264,1197,721
SKU00265,Product-265,6439,1193
SKU00266,Product-266,2591,1800
SKU00267,Product-267,6562,727
SKU00268,Product-268,3335,563
SKU00269,Product-269,8211,1162
SKU00270,Product-270,9583,732
SKU00271,Product-271,8635,100
SKU00272,Product-272,824,177
SKU00273,Product-273,3007,934
SKU00274,Product-274,4148,1095
SKU00275,Product-275,5278,699
SKU00276,Product-276,1528,609
SKU00277,Product-277,611,834
SKU00278,Product-278,6771,87
SKU00279,Product-279,5464,961
SKU00280,Product-280,2784,536
SKU00281,Product-281,6990,1331
SKU00282,Product-282,8544,933
SKU00283,Product-283,9957,1289
SKU00284,Product-284,4236,71
SKU00285,Product-285,1592,1923
SKU00286,Product-286,8343,1311
SKU00287,Product-287,3202,353
SKU00288,Product-288,6444,1377
SKU00289,Product-289,7661,1300
SKU00290,Product-290,6309,1928
SKU00291,Product-291,5730,1240
SKU00292,Product-292,5054,1281
SKU00293,Product-293,7403,1576
SKU00294,Product-294,1390,67
SKU00295,Product-295,6447,551
SKU00296,Product-296,5370,178
SKU00297,Product-297,7688,908
SKU00298,Product-298,8269,571
SKU00299,Product-299,9054,1766
SKU00300,Product-300,5983,1230
SKU00301,Product-301,8425,1393
SKU00302,Product-302,9437,1498
SKU00303,Product-303,4005,1976
SKU00304,Product-304,6443,835
SKU00305,Product-305,7350,1918
SKU00306,Product-306,1491,1820
SKU00307,Product-307,7788,938
SKU00308,Product-308,5830,1900
SKU00309,Product-309,3756,1328
SKU00310,Product-310,6181,786
SKU00311,Product-311,8951,1427
SKU00312,Product-312,3328,680
SKU00313,Product-313,704,1898
SKU00314,Product-314,4166,416
SKU00315,Product-315,9415,498
SKU00316,Product-316,1964,919
SKU00317,Product-317,9678,1285
SKU00318,Product-318,5939,1733
SKU00319,Product-319,2657,220
SKU00320,Product-320,2819,1353
SKU00321,Product-321,8381,987
SKU00322,Product-322,8156,1030
SKU00323,Product-323,174,1424
SKU00324,Product-324,1115,430
SKU00325,Product-325,6532,1532
SKU00326,Product-326,5955,1336
SKU00327,Product-327,3833,1590
SKU00328,Product-328,1657,1043
SKU00329,Product-329,9714,1889
SKU00330,Product-330,6164,1995
SKU00331,Product-331,7496,1963
SKU00332,Product-332,2390,417
SKU00333,Product-333,7240,1310
SKU00334,Product-334,5911,1744
SKU00335,Product-335,1783,1420
SKU00336,Product-336,9408,782
SKU00337,Product-337,7137,1136
SKU00338,Product-338,9490,911
SKU00339,Product-339,9511,1960
SKU00340,Product-340,9322,1803
SKU00341,Product-341,1792,1025
SKU00342,Product-342,662,1432
SKU00343,Product-343,4398,1482
SKU00344,Product-344,3612,621
SKU00345,Product-345,6540,750
SKU00346,Product-346,1605,1027
SKU00347,Product-347,3221,946
SKU00348,Product-348,973,797
SKU00349,Product-349,6896,287
SKU00350,Product-350,852,1384
SKU00351,Product-351,3683,204
SKU00352,Product-352,6219,1584
SKU00353,Product-353,3363,258
SKU00354,Product-354,4125,1966
SKU00355,Product-355,3801,1647
SKU00356,Product-356,8167,371
SKU00357,Product-357,1546,1866
SKU00358,Product-358,7511,159
SKU00359,Product-359,3875,436
SKU00360,Product-360,1057,1190
SKU00361,Product-361,7128,1137
SKU00362,Product-362,4921,1184
SKU00363,Product-363,5530,1146
SKU00364,Product-364,1477,781
SKU00365,Product-365,2769,125
SKU00366,Product-366,7296,1837
SKU00367,Product-367,6034,1934
SKU00368,Product-368,6113,202
SKU00369,Product-369,3275,760
SKU00370,Product-370,8606,1754
SKU00371,Product-371,1897,1032
SKU00372,Product-372,1930,1784
SKU00373,Product-373,334,203
SKU00374,Product-374,826,1523
SKU00375,Product-375,5414,985
SKU00376,Product-376,9978,789
SKU00377,Product-377,7798,464
SKU00378,Product-378,3891,1099
SKU00379,Product-379,8690,1295
SKU00380,Product-380,5126,1497
SKU00381,Product-381,6221,1523
SKU00382,Product-382,9950,1614
SKU00383,Product-383,5681,1103
SKU00384,Product-384,143,941
SKU00385,Product-385,8794,1470
SKU00386,Product-386,3367,1116
SKU00387,Product-387,1650,832
SKU00388,Product-388,3564,1671
SKU00389,Product-389,9514,324
SKU00390,Product-390,9070,714
SKU00391,Product-391,8604,1385
SKU00392,Product-392,721,1788
SKU00393,Product-393,2475,1300
SKU00394,Product-394,1260,798
SKU00395,Product-395,7218,712
SKU00396,Product-396,3789,406
SKU00397,Product-397,9709,1136
SKU00398,Product-398,8951,648
SKU00399,Product-399,7976,1274
SKU00400,Product-400,2916,1304
SKU00401,Product-401,9618,609
SKU00402,Product-402,9708,889
SKU00403,Product-403,9664,1672
SKU00404,Product-404,3256,1149
SKU00405,Product-405,3971,1189
SKU00406,Product-406,4560,589
SKU00407,Product-407,4730,991
SKU00408,Product-408,6602,984
SKU00409,Product-409,2891,1972
SKU00410,Product-410,3295,1078
SKU00411,Product-411,9434,475
SKU00412,Product-412,239,843
SKU00413,Product-413,7594,588
SKU00414,Product-414,987,1339
SKU00415,Product-415,6351,1900
SKU00416,Product-416,6634,1486
SKU00417,Product-417,3587,922
SKU00418,Product-418,6015,790
SKU00419,Product-419,9432,591
SKU00420,Product-420,4437,1779
SKU00421,Product-421,2159,1815
SKU00422,Product-422,7176,551
SKU00423,Product-423,8010,1719
SKU00424,Product-424,3567,899
SKU00425,Product-425,5351,300
SKU00426,Product-426,6228,823
SKU00427,Product-427,3287,1807
SKU00428,Product-428,8121,1892
SKU00429,Product-429,1559,197
SKU00430,Product-430,2947,1018
SKU00431,Product-431,898,69
SKU00432,Product-432,7324,538
SKU00433,Product-433,6498,1566
SKU00434,Product-434,533,78
SKU00435,Product-435,8937,456
SKU00436,Product-436,4163,1651
SKU00437,Product-437,6477,528
SKU00438,Product-438,817,1870
SKU00439,Product-439,4582,724
SKU00440,Product-440,7000,1465
SKU00441,Product-441,6134,146
SKU00442,Product-442,7959,1804
SKU00443,Product-443,9551,1805
SKU00444,Product-444,1249,181
SKU00445,Product-445,8129,1029
SKU00446,Product-446,5951,1769
SKU00447,Product-447,9444,1181
SKU00448,Product-448,1220,113
SKU00449,Product-449,5409,144
SKU00450,Product-450,4546,552
SKU00451,Product-451,7439,254
SKU00452,Product-452,1563,1143
SKU00453,Product-453,4311,1645
SKU00454,Product-454,9717,345
SKU00455,Product-455,6771,326
SKU00456,Product-456,8161,1992
SKU00457,Product-457,8081,935
SKU00458,Product-458,8058,1508
SKU00459,Product-459,2905,1392
SKU00460,Product-460,91,1077
SKU00461,Product-461,9818,1175
SKU00462,Product-462,4829,146
SKU00463,Product-463,7673,465
SKU00464,Product-464,8160,2000
SKU00465,Product-465,8395,134
SKU00466,Product-466,423,1720
SKU00467,Product-467,3674,1576
SKU00468,Product-468,7237,1504
SKU00469,Product-469,2753,1186
SKU00470,Product-470,5908,1904
SKU00471,Product-471,1204,186
SKU00472,Product-472,1485,730
SKU00473,Product-473,7306,509
SKU00474,Product-474,8284,1547
SKU00475,Product-475,1201,1870
SKU00476,Product-476,5579,692
SKU00477,Product-477,6680,1199
SKU00478,Product-478,6784,311
SKU00479,Product-479,2732,1660
SKU00480,Product-480,1397,706
SKU00481,Product-481,8908,1063
SKU00482,Product-482,3367,1481
SKU00483,Product-483,8599,701
SKU00484,Product-484,3256,1416
SKU00485,Product-485,8119,477
SKU00486,Product-486,7514,1815
SKU00487,Product-487,1739,769
SKU00488,Product-488,143,1748
SKU00489,Product-489,9994,1970
SKU00490,Product-490,4830,1220
SKU00491,Product-491,5267,297
SKU00492,Product-492,5049,1464
SKU00493,Product-493,8414,724
SKU00494,Product-494,5463,391
SKU00495,Product-495,7383,908
SKU00496,Product-496,4189,919
SKU00497,Product-497,2989,122
SKU00498,Product-498,3632,810
SKU00499,Product-499,1313,813
SKU00500,Product-500,6616,1034
SKU00501,Product-501,7594,1577
SKU00502,Product-502,9731,788
SKU00503,Product-503,2446,1860
SKU00504,Product-504,9062,1646
SKU00505,Product-505,7092,530
SKU00506,Product-506,3563,1935
SKU00507,Product-507,9951,863
SKU00508,Product-508,3336,1078
SKU00509,Product-509,4703,453
SKU00510,Product-510,1451,1469
SKU00511,Product-511,7510,1928
SKU00512,Product-512,928,640
SKU00513,Product-513,533,748
SKU00514,Product-514,8413,956
SKU00515,Product-515,7933,917
SKU00516,Product-516,8279,675
SKU00517,Product-517,5477,1078
SKU00518,Product-518,2364,285
SKU00519,Product-519,7810,1256
SKU00520,Product-520,8658,1294
SKU00521,Product-521,249,133
SKU00522,Product-522,7139,417
SKU00523,Product-523,3024,1171
SKU00524,Product-524,8973,1043
SKU00525,Product-525,886,1403
SKU00526,Product-526,2404,362
SKU00527,Product-527,4387,76
SKU00528,Product-528,2812,1049
SKU00529,Product-529,7687,1704
SKU00530,Product-530,8580,852
SKU00531,Product-531,6739,442
SKU00532,Product-532,1889,1964
SKU00533,Product-533,7271,1760
SKU00534,Product-534,7268,789
SKU00535,Product-535,9167,347
SKU00536,Product-536,5762,1687
SKU00537,Product-537,8553,1235
SKU00538,Product-538,1048,189
SKU00539,Product-539,4721,118
SKU00540,Product-540,2198,1794
SKU00541,Product-541,7248,862
SKU00542,Product-542,9869,1598
SKU00543,Product-543,2153,276
SKU00544,Product-544,6898,1744
SKU00545,Product-545,5468,1878
SKU00546,Product-546,5450,1377
SKU00547,Product-547,1057,1203
SKU00548,Product-548,2440,1350
SKU00549,Product-549,9893,575
SKU00550,Product-550,8679,927
SKU00551,Product-551,7161,709
SKU00552,Product-552,2472,527
SKU00553,Product-553,6329,1931
SKU00554,Product-554,2307,619
SKU00555,Product-555,6054,1706
SKU00556,Product-556,3871,1163
SKU00557,Product-557,5240,1132
SKU00558,Product-558,3349,1745
SKU00559,Product-559,9128,294
SKU00560,Product-560,5524,1842
SKU00561,Product-561,9671,955
SKU00562,Product-562,295,1739
SKU00563,Product-563,8393,581
SKU00564,Product-564,3948,195
SKU00565,Product-565,7324,1305
SKU00566,Product-566,9495,313
SKU00567,Product-567,4057,1209
SKU00568,Product-568,4406,1672
SKU00569,Product-569,8280,1082
SKU00570,Product-570,7472,1364
SKU00571,Product-571,1139,1434
SKU00572,Product-572,743,484
SKU00573,Product-573,2040,1070
SKU00574,Product-574,3367,1030
SKU00575,Product-575,1772,654
SKU00576,Product-576,7656,1287
SKU00577,Product-577,9596,229
SKU00578,Product-578,8931,310
SKU00579,Product-579,7752,1829
SKU00580,Product-580,8496,317
SKU00581,Product-581,2552,377
SKU00582,Product-582,8980,1242
SKU00583,Product-583,2464,619
SKU00584,Product-584,7102,744
SKU00585,Product-585,7588,750
SKU00586,Product-586,7932,1619
SKU00587,Product-587,1435,1373
SKU00588,Product-588,9556,1943
SKU00589,Product-589,9360,305
SKU00590,Product-590,5561,1499
SKU00591,Product-591,8153,1681
SKU00592,Product-592,1202,927
SKU00593,Product-593,5949,367
SKU00594,Product-594,9231,1135
SKU00595,Product-595,2627,998
SKU00596,Product-596,1418,232
SKU00597,Product-597,6830,369
SKU00598,Product-598,7021,1131
SKU00599,Product-599,4406,1851
SKU00600,Product-600,437,292
SKU00601,Product-601,1529,827
SKU00602,Product-602,5722,737
SKU00603,Product-603,76,783
SKU00604,Product-604,9078,533
SKU00605,Product-605,7356,1364
SKU00606,Product-606,2452,997
SKU00607,Product-607,9249,702
SKU00608,Product-608,2382,677
SKU00609,Product-609,4746,1584
SKU00610,Product-610,2690,1281
SKU00611,Product-611,8972,145
SKU00612,Product-612,6297,297
SKU00613,Product-613,291,1548
SKU00614,Product-614,646,934
SKU00615,Product-615,5323,1798
SKU00616,Product-616,9461,1176
SKU00617,Product-617,6195,1679
SKU00618,Product-618,3794,1220
SKU00619,Product-619,7473,145
SKU00620,Product-620,8093,1867
SKU00621,Product-621,8863,1498
SKU00622,Product-622,3337,1679
SKU00623,Product-623,1613,394
SKU00624,Product-624,9486,1852
SKU00625,Product-625,403,1792
SKU00626,Product-626,317,835
SKU00627,Product-627,5004,552
SKU00628,Product-628,1583,1564
SKU00629,Product-629,4550,101
SKU00630,Product-630,7971,1623
SKU00631,Product-631,7667,327
SKU00632,Product-632,1672,1300
SKU00633,Product-633,1905,1772
SKU00634,Product-634,4569,1592
SKU00635,Product-635,3458,1175
SKU00636,Product-636,2725,852
SKU00637,Product-637,8446,341
SKU00638,Product-638,7698,338
SKU00639,Product-639,2261,1718
SKU00640,Product-640,620,1047
SKU00641,Product-641,3538,1497
SKU00642,Product-642,7748,406
SKU00643,Product-643,8986,1586
SKU00644,Product-644,9031,1778
SKU00645,Product-645,8843,311
SKU00646,Product-646,4342,1708
SKU00647,Product-647,3702,300
SKU00648,Product-648,8127,1833
SKU00649,Product-649,339,1259
SKU00650,Product-650,3420,1785
SKU00651,Product-651,5380,1474
SKU00652,Product-652,9858,650
SKU00653,Product-653,2236,1955
SKU00654,Product-654,2075,487
SKU00655,Product-655,2545,983
SKU00656,Product-656,5752,966
SKU00657,Product-657,3885,1958
SKU00658,Product-658,5825,1666
SKU00659,Product-659,7865,562
SKU00660,Product-660,39,368
SKU00661,Product-661,4775,119
SKU00662,Product-662,1546,174
SKU00663,Product-663,8258,1876
SKU00664,Product-664,5518,66
SKU00665,Product-665,3696,76
SKU00666,Product-666,6591,1279
SKU00667,Product-667,2280,263
SKU00668,Product-668,5940,1976
SKU00669,Product-669,862,424
SKU00670,Product-670,1229,266
SKU00671,Product-671,2260,434
SKU00672,Product-672,3234,623
SKU00673,Product-673,4348,452
SKU00674,Product-674,3817,720
SKU00675,Product-675,6569,704
SKU00676,Product-676,1393,1758
SKU00677,Product-677,3199,860
SKU00678,Product-678,2842,938
SKU00679,Product-679,9303,517
SKU00680,Product-680,8982,741
SKU00681,Product-681,5302,746
SKU00682,Product-682,5491,552
SKU00683,Product-683,6845,769
SKU00684,Product-684,621,2000
SKU00685,Product-685,4172,1173
SKU00686,Product-686,2090,1857
SKU00687,Product-687,8848,904
SKU00688,Product-688,237,1684
SKU00689,Product-689,2272,261
SKU00690,Product-690,8458,786
SKU00691,Product-691,494,249
SKU00692,Product-692,9979,1403
SKU00693,Product-693,5706,447
SKU00694,Product-694,9124,1703
SKU00695,Product-695,4237,1030
SKU00696,Product-696,6441,778
SKU00697,Product-697,2605,1717
SKU00698,Product-698,3318,674
SKU00699,Product-699,5449,509
SKU00700,Product-700,550,698
SKU00701,Product-701,8315,974
SKU00702,Product-702,3189,423
SKU00703,Product-703,5,1765
SKU00704,Product-704,2436,271
SKU00705,Product-705,8011,1512
SKU00706,Product-706,1036,747
SKU00707,Product-707,8657,646
SKU00708,Product-708,5463,1487
SKU00709,Product-709,3426,1498
SKU00710,Product-710,3511,887
SKU00711,Product-711,7488,1137
SKU00712,Product-712,7339,197
SKU00713,Product-713,2541,1193
SKU00714,Product-714,3057,1511
SKU00715,Product-715,1438,811
SKU00716,Product-716,8811,1218
SKU00717,Product-717,8745,242
SKU00718,Product-718,5111,1909
SKU00719,Product-719,9310,1257
SKU00720,Product-720,1066,1629
SKU00721,Product-721,6792,344
SKU00722,Product-722,1974,932
SKU00723,Product-723,3637,1585
SKU00724,Product-724,5222,377
SKU00725,Product-725,3329,1995
SKU00726,Product-726,8642,329
SKU00727,Product-727,5248,837
SKU00728,Product-728,9150,93
SKU00729,Product-729,4076,388
SKU00730,Product-730,5080,1644
SKU00731,Product-731,1652,237
SKU00732,Product-732,9308,1127
SKU00733,Product-733,9757,663
SKU00734,Product-734,6777,1248
SKU00735,Product-735,9389,690
SKU00736,Product-736,9035,550
SKU00737,Product-737,6213,1668
SKU00738,Product-738,5561,1818
SKU00739,Product-739,1715,367
SKU00740,Product-740,341,109
SKU00741,Product-741,2978,464
SKU00742,Product-742,1605,901
SKU00743,Product-743,9443,1712
SKU00744,Product-744,4633,381
SKU00745,Product-745,5252,565
SKU00746,Product-746,2658,1085
SKU00747,Product-747,3291,1259
SKU00748,Product-748,3727,87
SKU00749,Product-749,7272,601
SKU00750,Product-750,4661,802
SKU00751,Product-751,1945,751
SKU00752,Product-752,414,728
SKU00753,Product-753,1510,1803
SKU00754,Product-754,6990,1431
SKU00755,Product-755,4190,1406
SKU00756,Product-756,4522,834
SKU00757,Product-757,8510,64
SKU00758,Product-758,2351,384
SKU00759,Product-759,3772,1320
SKU00760,Product-760,6519,1033
SKU00761,Product-761,9305,466
SKU00762,Product-762,7183,1411
SKU00763,Product-763,818,1190
SKU00764,Product-764,7902,1254
SKU00765,Product-765,2750,1129
SKU00766,Product-766,8594,1991
SKU00767,Product-767,3478,304
SKU00768,Product-768,9003,752
SKU00769,Product-769,9777,1732
SKU00770,Product-770,204,1802
SKU00771,Product-771,9808,734
SKU00772,Product-772,6718,1596
SKU00773,Product-773,7677,1161
SKU00774,Product-774,6242,132
SKU00775,Product-775,7433,552
SKU00776,Product-776,8942,836
SKU00777,Product-777,8622,1219
SKU00778,Product-778,1312,1504
SKU00779,Product-779,3005,92
SKU00780,Product-780,1640,1995
SKU00781,Product-781,1748,259
SKU00782,Product-782,6456,702
SKU00783,Product-783,4378,1882
SKU00784,Product-784,9990,1081
SKU00785,Product-785,9751,1476
SKU00786,Product-786,9926,749
SKU00787,Product-787,3641,1018
SKU00788,Product-788,1547,1579
SKU00789,Product-789,1112,79
SKU00790,Product-790,9888,1230
SKU00791,Product-791,7582,939
SKU00792,Product-792,4844,1884
SKU00793,Product-793,9527,1658
SKU00794,Product-794,4119,1133
SKU00795,Product-795,6287,1788
SKU00796,Product-796,769,1201
SKU00797,Product-797,4250,1808
SKU00798,Product-798,8901,1887
SKU00799,Product-799,825,1867
SKU00800,Product-800,1935,840
SKU00801,Product-801,2111,197
SKU00802,Product-802,353,1202
SKU00803,Product-803,2377,1643
SKU00804,Product-804,9600,1078
SKU00805,Product-805,2657,653
SKU00806,Product-806,8861,933
SKU00807,Product-807,1834,468
SKU00808,Product-808,8749,353
SKU00809,Product-809,1172,1664
SKU00810,Product-810,674,1976
SKU00811,Product-811,8344,823
SKU00812,Product-812,5462,398
SKU00813,Product-813,1863,1565
SKU00814,Product-814,8417,135
SKU00815,Product-815,2325,896
SKU00816,Product-816,5999,1497
SKU00817,Product-817,8756,1223
SKU00818,Product-818,8698,1624
SKU00819,Product-819,6282,1128
SKU00820,Product-820,4499,1340
SKU00821,Product-821,2619,1024
SKU00822,Product-822,6866,1590
SKU00823,Product-823,92,1995
SKU00824,Product-824,8381,1752
SKU00825,Product-825,9367,268
SKU00826,Product-826,226,1125
SKU00827,Product-827,4197,1947
SKU00828,Product-828,4739,1792
SKU00829,Product-829,146,654
SKU00830,Product-830,895,1343
SKU00831,Product-831,4642,895
SKU00832,Product-832,7706,188
SKU00833,Product-833,442,1858
SKU00834,Product-834,4076,1892
SKU00835,Product-835,2646,1174
SKU00836,Product-836,2611,632
SKU00837,Product-837,8644,1715
SKU00838,Product-838,4781,1547
SKU00839,Product-839,7513,1822
SKU00840,Product-840,6562,180
SKU00841,Product-841,9415,1447
SKU00842,Product-842,5653,345
SKU00843,Product-843,8758,787
SKU00844,Product-844,2516,316
SKU00845,Product-845,8808,528
SKU00846,Product-846,6237,1335
SKU00847,Product-847,6445,1337
SKU00848,Product-848,6571,230
SKU00849,Product-849,628,1820
SKU00850,Product-850,1152,1261
SKU00851,Product-851,1231,304
